num_lin,nome_lin,long,lat,estacao_upp,link
7,8,DIAMANTE,-46889221,-23513918,JARDIM BELVAL,BARUERI
8,8,DIAMANTE,-46875325,-23512687,BARUERI,ANTONIO JOAO
9,8,DIAMANTE,-46858640,-23516936,ANTONIO JOAO,SANTA TERESINHA
10,8,DIAMANTE,-46847812,-23516629,SANTA TERESINHA,CARAPICUIBA
11,8,DIAMANTE,-46835503,-23518557,CARAPICUIBA,GENERAL MIGUEL COSTA
12,8,DIAMANTE,-46816042,-23523470,GENERAL MIGUEL COSTA,QUITAUNA
13,8,DIAMANTE,-46806914,-23522738,QUITAUNA,COMANDANTE SAMPAIO
14,8,DIAMANTE,-46795989,-23525676,COMANDANTE SAMPAIO,OSASCO
15,8,DIAMANTE,-46775823,-23527823,OSASCO,PRESIDENTE ALTINO
16,8,DIAMANTE,-46761784,-23531442,PRESIDENTE ALTINO,IMPERATRIZ LEOPOLDINA
17,8,DIAMANTE,-46737239,-23523421,IMPERATRIZ LEOPOLDINA,DOMINGOS DE MORAIS
18,8,DIAMANTE,-46722478,-23518887,DOMINGOS DE MORAIS,LAPA DIAMANTE
19,8,DIAMANTE,-46698985,-23520180,LAPA DIAMANTE,BARRA FUNDA
20,8,DIAMANTE,-46667363,-23525683,BARRA FUNDA,JULIO PRESTES
21,8,DIAMANTE,-46640625,-23533163,JULIO PRESTES,JULIO PRESTES
0,9,ESMERALDA,-46696983,-23736298,GRAJAU,PRIMAVERA INTERLAGOS
1,9,ESMERALDA,-46691768,-23723037,PRIMAVERA INTERLAGOS,AUTODROMO
2,9,ESMERALDA,-46688440,-23706195,AUTODROMO,JURUBATUBA
3,9,ESMERALDA,-46702269,-23677399,JURUBATUBA,SOCORRO
4,9,ESMERALDA,-46711212,-23662783,SOCORRO,SANTO AMARO
5,9,ESMERALDA,-46719015,-23656331,SANTO AMARO,GRANJA JULIETA
6,9,ESMERALDA,-46712035,-23627637,GRANJA JULIETA,MORUMBI
7,9,ESMERALDA,-46701450,-23621433,MORUMBI,BERRINI
8,9,ESMERALDA,-46696759,-23604711,BERRINI,VILA OLIMPIA
9,9,ESMERALDA,-46692763,-23593600,VILA OLIMPIA,CIDADE JARDIM
10,9,ESMERALDA,-46691116,-23585523,CIDADE JARDIM,HEBRAICA REBOUCAS
11,9,ESMERALDA,-46698654,-23573632,HEBRAICA REBOUCAS,PINHEIROS
12,9,ESMERALDA,-46703038,-23566538,PINHEIROS,CIDADE UNIVERSITARIA
13,9,ESMERALDA,-46711928,-23557632,CIDADE UNIVERSITARIA,VILLA LOBOS JAGUARE
14,9,ESMERALDA,-46733151,-23545868,VILLA LOBOS JAGUARE,CEASA
15,9,ESMERALDA,-46742419,-23537590,CEASA,PRESIDENTE ALTINO
16,9,ESMERALDA,-46761937,-23531395,PRESIDENTE ALTINO,OSASCO
17,9,ESMERALDA,-46775910,-23527638,OSASCO,OSASCO
0,13,JADE,-46520822,-23497915,ENGENHEIRO GOULART,GUARULHOS CECAP
1,13,JADE,-46493596,-23447484,GUARULHOS CECAP,AEROPORTO GUARULHOS
2,13,JADE,-46493781,-23433131,AEROPORTO GUARULHOS,AEROPORTO GUARULHOS
0,5,LILAS,-46767986,-23659266,CAPAO REDONDO,CAMPO LIMPO
1,5,LILAS,-46758929,-23649318,CAMPO LIMPO,VILA DAS BELEZAS
2,5,LILAS,-46745723,-23640418,VILA DAS BELEZAS,GIOVANNI GRONCHI
3,5,LILAS,-46734108,-23643979,GIOVANNI GRONCHI,SANTO AMARO
4,5,LILAS,-46720889,-23655748,SANTO AMARO,LARGO TREZE
5,5,LILAS,-46708452,-23654236,LARGO TREZE,ADOLFO PINHEIRO
6,5,LILAS,-46704301,-23650110,ADOLFO PINHEIRO,ALTO DA BOA VISTA
7,5,LILAS,-46699272,-23641455,ALTO DA BOA VISTA,BORBA GATO
8,5,LILAS,-46693151,-23633737,BORBA GATO,BROOKLIN
9,5,LILAS,-46688036,-23626968,BROOKLIN,CAMPO BELO
10,5,LILAS,-46682197,-23618863,CAMPO BELO,EUCALIPTOS
11,5,LILAS,-46668554,-23609942,EUCALIPTOS,MOEMA
12,5,LILAS,-46662316,-23603697,MOEMA,AACD SERVIDOR
13,5,LILAS,-46652280,-23597642,AACD SERVIDOR,HOSPITAL SAO PAULO
14,5,LILAS,-46645360,-23598178,HOSPITAL SAO PAULO,SANTA CRUZ
15,5,LILAS,-46636741,-23598378,SANTA CRUZ,CHACARA KLABIN
16,5,LILAS,-46631118,-23592988,CHACARA KLABIN,CHACARA KLABIN
0,15,PRATA,-46583214,-23584626,VILA PRUDENTE,ORATORIO
1,15,PRATA,-46561818,-23582170,ORATORIO,SAO LUCAS
2,15,PRATA,-46544659,-23588924,SAO LUCAS,CAMILO HADDAD
3,15,PRATA,-46537645,-23595464,CAMILO HADDAD,VILA TOLSTOI
4,15,PRATA,-46527249,-23600849,VILA TOLSTOI,VILA UNIAO
5,15,PRATA,-46515527,-23602988,VILA UNIAO,JARDIM PLANALTO
6,15,PRATA,-46507633,-23606490,JARDIM PLANALTO,SAPOPEMBA
7,15,PRATA,-46500803,-23614713,SAPOPEMBA,FAZENDA DA JUTA
8,15,PRATA,-46487452,-23611810,FAZENDA DA JUTA,SAO MATEUS
9,15,PRATA,-46476765,-23612134,SAO MATEUS,SAO MATEUS
0,7,RUBI,-46872035,-23195382,JUNDIAI,VARZEA PAULISTA
1,7,RUBI,-46828941,-23208851,VARZEA PAULISTA,CAMPO LIMPO PAULISTA
2,7,RUBI,-46785489,-23206636,CAMPO LIMPO PAULISTA,BOTUJURU
3,7,RUBI,-46767223,-23236393,BOTUJURU,FRANCISCO MORATO
4,7,RUBI,-46742590,-23282476,FRANCISCO MORATO,BALTAZAR FIDELIS
5,7,RUBI,-46723407,-23310132,BALTAZAR FIDELIS,FRANCO DA ROCHA
6,7,RUBI,-46726340,-23329607,FRANCO DA ROCHA,CAIEIRAS
7,7,RUBI,-46751528,-23366166,CAIEIRAS,PERUS
8,7,RUBI,-46753656,-23404975,PERUS,VILA AURORA
9,7,RUBI,-46747258,-23437763,VILA AURORA,JARAGUA
10,7,RUBI,-46738540,-23455415,JARAGUA,VILA CLARICE
11,7,RUBI,-46744437,-23469907,VILA CLARICE,PIRITUBA
12,7,RUBI,-46726116,-23488457,PIRITUBA,PIQUERI
13,7,RUBI,-46715044,-23503587,PIQUERI,LAPA RUBI
14,7,RUBI,-46703923,-23517676,LAPA RUBI,AGUA BRANCA
15,7,RUBI,-46688550,-23521372,AGUA BRANCA,BARRA FUNDA
16,7,RUBI,-46667351,-23525387,BARRA FUNDA,LUZ
17,7,RUBI,-46635314,-23535180,LUZ,BRAS
18,7,RUBI,-46616601,-23544890,BRAS,BRAS
0,12,SAFIRA,-46616601,-23544890,BRAS,TATUAPE
1,12,SAFIRA,-46576479,-23540065,TATUAPE,ENGENHEIRO GOULART
2,12,SAFIRA,-46520621,-23498318,ENGENHEIRO GOULART,USP LESTE
3,12,SAFIRA,-46501660,-23485512,USP LESTE,COMENDADOR ERMELINO
4,12,SAFIRA,-46482291,-23485146,COMENDADOR ERMELINO,SAO MIGUEL PAULISTA
5,12,SAFIRA,-46443786,-23490385,SAO MIGUEL PAULISTA,JARDIM HELENA VILA MARA
6,12,SAFIRA,-46421537,-23492688,JARDIM HELENA VILA MARA,ITAIM PAULISTA
7,12,SAFIRA,-46401871,-23493998,ITAIM PAULISTA,JARDIM ROMANO
8,12,SAFIRA,-46385564,-23484924,JARDIM ROMANO,ENGENHEIRO MANUEL FEIO
9,12,SAFIRA,-46367779,-23479075,ENGENHEIRO MANUEL FEIO,ITAQUACETUBA
10,12,SAFIRA,-46348176,-23485826,ITAQUACETUBA,ARACARE
11,12,SAFIRA,-46339020,-23500589,ARACARE,CALMON VIANA
12,12,SAFIRA,-46332908,-23525298,CALMON VIANA,CALMON VIANA
0,10,TURQUESA,-46616434,-23545470,BRAS,JUVENTUS MOOCA
1,10,TURQUESA,-46607940,-23558680,JUVENTUS MOOCA,IPIRANGA
2,10,TURQUESA,-46596701,-23582225,IPIRANGA,TAMANDUATEI
3,10,TURQUESA,-46589289,-23592847,TAMANDUATEI,SAO CAETANO DO SUL PREFEITO WALTER BRAIDO
4,10,TURQUESA,-46570070,-23610032,SAO CAETANO DO SUL PREFEITO WALTER BRAIDO,UTINGA
5,10,TURQUESA,-46544146,-23626138,UTINGA,PREFEITO SALADINO
6,10,TURQUESA,-46536754,-23638327,PREFEITO SALADINO,PREFEITO CELSO DANIEL SANTO ANDRE
7,10,TURQUESA,-46528212,-23652324,PREFEITO CELSO DANIEL SANTO ANDRE,CAPUAVA
8,10,TURQUESA,-46490103,-23658304,CAPUAVA,MAUA
9,10,TURQUESA,-46461611,-23668169,MAUA,GUAPITUBA
10,10,TURQUESA,-46448673,-23692169,GUAPITUBA,ANTONIO BESPALEC RIBEIRAO PIRES
11,10,TURQUESA,-46414767,-23713632,ANTONIO BESPALEC RIBEIRAO PIRES,RIO GRANDE DA SERRA
12,10,TURQUESA,-46391864,-23743306,RIO GRANDE DA SERRA,RIO GRANDE DA SERRA
0,2,VERDE,-46690836,-23546394,VILA MADALENA,SANTUARIO NOSSA SENHORA DE FATIMA SUMARE
1,2,VERDE,-46677263,-23551155,SANTUARIO NOSSA SENHORA DE FATIMA SUMARE,CLINICAS
2,2,VERDE,-46671029,-23553986,CLINICAS,CONSOLACAO
3,2,VERDE,-46660974,-23557372,CONSOLACAO,TRIANON MASP
4,2,VERDE,-46654368,-23563100,TRIANON MASP,BRIGADEIRO
5,2,VERDE,-46647318,-23568871,BRIGADEIRO,PARAISO
6,2,VERDE,-46640913,-23575655,PARAISO,ANA ROSA
7,2,VERDE,-46638505,-23581257,ANA ROSA,CHACARA KLABIN
8,2,VERDE,-46630416,-23592562,CHACARA KLABIN,SANTOS IMIGRANTES
9,2,VERDE,-46620944,-23595855,SANTOS IMIGRANTES,ALTO DO IPIRANGA
10,2,VERDE,-46612530,-23602248,ALTO DO IPIRANGA,SACOMA
11,2,VERDE,-46602868,-23601505,SACOMA,TAMANDUATEI
12,2,VERDE,-46589733,-23592970,TAMANDUATEI,VILA PRUDENTE
13,2,VERDE,-46581799,-23584277,VILA PRUDENTE,VILA PRUDENTE
0,3,VERMELHA,-46667374,-23525951,PALMEIRAS BARRA FUNDA,MARECHAL DEODORO
1,3,VERMELHA,-46655656,-23533971,MARECHAL DEODORO,SANTA CECILIA
2,3,VERMELHA,-46648383,-23540057,SANTA CECILIA,REPUBLICA
3,3,VERMELHA,-46643021,-23543872,REPUBLICA,ANHANGABAU
4,3,VERMELHA,-46638844,-23547946,ANHANGABAU,SE
5,3,VERMELHA,-46632918,-23550220,SE,PEDRO II
6,3,VERMELHA,-46625615,-23549679,PEDRO II,BRAS
7,3,VERMELHA,-46615666,-23547892,BRAS,BRESSER MOOCA
8,3,VERMELHA,-46607354,-23546467,BRESSER MOOCA,BELEM
9,3,VERMELHA,-46589641,-23542964,BELEM,TATUAPE
10,3,VERMELHA,-46576390,-23540488,TATUAPE,CARRAO
11,3,VERMELHA,-46564119,-23537905,CARRAO,PENHA
12,3,VERMELHA,-46542302,-23533516,PENHA,VILA MATILDE
13,3,VERMELHA,-46530926,-23531906,VILA MATILDE,GUILHERMINA ESPERANCA
14,3,VERMELHA,-46516730,-23529421,GUILHERMINA ESPERANCA,PATRIARCA VILA RE
15,3,VERMELHA,-46501354,-23531229,PATRIARCA VILA RE,ARTUR ALVIM
16,3,VERMELHA,-46484555,-23540371,ARTUR ALVIM,CORINTHIANS ITAQUERA
17,3,VERMELHA,-46471100,-23542439,CORINTHIANS ITAQUERA,CORINTHIANS ITAQUERA
