id_casa,LotFrontage,LotArea,Street,Condition1,Condition2,YearBuilt,ExterQual,FullBath,BedroomAbvGr,SalePrice,Color
663,90.0,10012,Pave,Norm,Norm,1972.0,TA,2,3.0,137500,
222,85.0,11475,Pave,RRAn,Norm,1975.0,TA,2,3.0,179900,
513,71.0,9187,Pave,Norm,Norm,1983.0,TA,1,3.0,134000,
1113,66.0,8923,Pave,Norm,Norm,1953.0,TA,1,2.0,134500,
467,79.0,9480,Pave,Artery,Norm,1942.0,TA,1,,146500,
117,74.0,8536,Pave,Norm,Norm,2006.0,TA,1,2.0,155000,
951,60.0,7800,Pave,Norm,Norm,1965.0,TA,1,3.0,119900,
636,51.0,6120,Pave,Norm,Norm,1936.0,Fa,1,1.0,60000,
1080,80.0,11040,Pave,Norm,Norm,1971.0,Gd,2,3.0,145000,
711,66.0,8712,Pave,Norm,Norm,,TA,1,2.0,102776,
1366,68.0,9179,Pave,Norm,Norm,1999.0,Gd,2,3.0,193000,
596,60.0,3600,Pave,Norm,Norm,1910.0,TA,1,3.0,114504,
106,60.0,10800,Pave,Norm,Norm,1885.0,TA,1,2.0,100000,
763,82.0,9430,Pave,Norm,Norm,1999.0,Gd,2,3.0,337000,
757,,11616,,Norm,Norm,1978.0,TA,2,3.0,158900,
522,50.0,5000,Pave,Feedr,Norm,1947.0,TA,2,3.0,159000,
473,110.0,14977,Pave,Norm,Norm,2006.0,Gd,2,2.0,440000,
1274,53.0,5362,Pave,Norm,Norm,1910.0,TA,2,3.0,139000,
392,,8339,Pave,Norm,Norm,1959.0,TA,1,3.0,106500,
574,70.0,10500,Pave,Norm,Norm,1971.0,TA,1,3.0,139000,
1120,59.0,8263,Pave,Norm,Norm,1920.0,TA,1,2.0,118400,
884,65.0,7150,Pave,Norm,Norm,1967.0,TA,1,3.0,100000,
1005,65.0,8385,Pave,Norm,Norm,1977.0,Gd,2,3.0,149900,
924,79.0,10240,Pave,Norm,Norm,1980.0,TA,2,3.0,207500,
112,77.0,9965,Pave,Norm,Norm,2007.0,Gd,2,4.0,383970,
538,,11553,Pave,Norm,Norm,1968.0,TA,1,3.0,158000,
545,,13837,Pave,Norm,Norm,1988.0,Gd,2,,229000,
1275,95.0,11345,Pave,Feedr,Norm,1948.0,TA,2,4.0,137000,
782,67.0,16285,Pave,Norm,Norm,2001.0,Gd,2,3.0,187100,
89,60.0,8070,Pave,Norm,Norm,1994.0,TA,1,3.0,123600,
827,65.0,8529,Pave,Norm,Norm,2001.0,Gd,2,3.0,189000,
1396,,57200,Pave,Norm,Norm,1948.0,TA,1,3.0,160000,
589,50.0,9100,Pave,RRAn,Feedr,1930.0,TA,1,2.0,79500,
1036,89.0,12898,Pave,Norm,Norm,2007.0,Gd,2,2.0,315500,
1308,100.0,12000,Pave,Norm,Norm,1948.0,TA,1,2.0,147000,
423,80.0,9200,Pave,Norm,Norm,1998.0,Gd,2,4.0,315000,
1296,80.0,8700,Pave,Norm,Norm,1963.0,TA,2,3.0,155000,
802,63.0,8199,,Norm,Norm,2005.0,Gd,2,3.0,189000,
1005,65.0,8385,Pave,Norm,Norm,1977.0,Gd,2,3.0,149900,
534,74.0,9056,Pave,Norm,Norm,2004.0,Gd,2,3.0,178000,
914,30.0,3000,Pave,Norm,Norm,2009.0,Gd,2,2.0,173733,
1158,92.0,11932,,Feedr,Norm,2007.0,Gd,2,3.0,235128,
73,85.0,10200,Pave,Norm,Norm,1954.0,TA,1,3.0,144900,
57,89.0,11645,Pave,Norm,Norm,2004.0,Gd,2,3.0,196500,
758,24.0,2280,Pave,Norm,Norm,1999.0,TA,2,3.0,179400,
819,44.0,6371,Pave,Norm,Norm,2009.0,Gd,2,2.0,224000,
115,34.0,3230,Pave,Norm,Norm,1999.0,TA,2,2.0,176000,
1280,67.0,9808,Pave,Norm,Norm,2002.0,Gd,2,3.0,227000,
186,,9947,Pave,Norm,Norm,1990.0,TA,2,3.0,173000,
40,84.0,8658,Pave,Norm,Norm,1965.0,TA,2,3.0,160000,
306,116.0,13474,Pave,Feedr,Norm,1990.0,Gd,2,4.0,225000,
856,,10970,Pave,Norm,Norm,1978.0,TA,1,3.0,147000,
115,34.0,3230,Pave,Norm,Norm,1999.0,TA,2,2.0,176000,
1008,43.0,12118,Pave,Norm,Norm,2004.0,Gd,2,3.0,240000,
574,70.0,10500,Pave,Norm,Norm,1971.0,TA,1,3.0,139000,
331,70.0,8176,Pave,Norm,Norm,1958.0,TA,1,3.0,139000,
21,57.0,7449,Pave,Norm,Norm,1930.0,TA,1,3.0,139400,
400,38.0,14963,Pave,Norm,Norm,1996.0,Gd,1,1.0,245500,
816,,11425,Pave,Norm,Norm,1954.0,TA,1,2.0,137000,
44,70.0,7945,Pave,Norm,Norm,1959.0,TA,1,3.0,141000,
15,51.0,6120,Pave,Norm,Norm,1929.0,TA,1,2.0,132000,
528,58.0,9098,Pave,Norm,Norm,1920.0,TA,1,2.0,86000,
1405,44.0,3842,Pave,Norm,Norm,2004.0,Gd,2,2.0,275000,
453,75.0,9000,Pave,Norm,Norm,2008.0,Gd,2,3.0,210000,
451,62.0,70761,Pave,Norm,Norm,1975.0,TA,2,2.0,280000,
733,80.0,10000,Pave,Feedr,Norm,1961.0,TA,1,3.0,131400,
1156,85.0,9350,Pave,Norm,Norm,1965.0,TA,2,3.0,179900,
245,80.0,10400,,Norm,Norm,1988.0,TA,2,3.0,241500,
677,52.0,9022,Pave,Norm,Norm,1924.0,Gd,1,2.0,109500,
1379,73.0,9735,Pave,Norm,Norm,2006.0,TA,2,3.0,167500,
1082,70.0,8749,Pave,Norm,Norm,2002.0,Gd,2,3.0,192000,
435,43.0,10667,Pave,PosN,Norm,1996.0,Gd,2,3.0,212000,
287,,8125,Pave,Norm,Norm,1971.0,TA,1,3.0,88000,
708,65.0,9018,,Norm,Norm,2007.0,Gd,2,3.0,179540,
897,64.0,7018,Pave,Feedr,Norm,1979.0,TA,2,6.0,142953,
918,103.0,13125,Pave,Norm,Norm,1991.0,Gd,2,4.0,238000,
869,80.0,9938,Pave,Norm,Norm,1993.0,Gd,2,3.0,236000,
976,51.0,5900,Pave,Norm,Norm,1923.0,TA,1,2.0,85500,
1277,,17871,Pave,Norm,Norm,1967.0,TA,1,3.0,197900,
172,44.0,5306,Pave,Norm,Norm,1987.0,Gd,2,2.0,239000,
70,95.0,13651,Pave,Norm,Norm,1973.0,TA,2,3.0,244000,
458,,5100,Pave,Norm,Norm,1925.0,TA,1,3.0,161000,
853,,12095,Pave,Norm,Norm,1964.0,TA,1,3.0,158000,
891,70.0,11184,Pave,Norm,Norm,1978.0,TA,2,3.0,172500,
807,144.0,21384,Pave,Norm,Norm,1923.0,TA,1,3.0,223500,
516,,10448,Pave,Norm,Norm,1972.0,TA,2,3.0,158000,
889,128.0,12160,Pave,Feedr,Norm,1953.0,TA,1,2.0,149500,
1015,70.0,8400,Pave,Norm,Norm,2001.0,Gd,2,3.0,227000,
62,44.0,6442,Pave,Norm,Norm,2006.0,Gd,2,2.0,202500,
472,35.0,3675,Pave,Norm,Norm,2005.0,TA,1,2.0,148000,
89,60.0,8070,Pave,Norm,Norm,1994.0,TA,1,3.0,123600,
842,82.0,9020,Pave,Norm,Norm,1966.0,TA,1,3.0,174900,
247,75.0,11310,Pave,Norm,Norm,1954.0,TA,1,2.0,140000,
722,70.0,8120,,Norm,Norm,1970.0,TA,1,3.0,124500,
558,57.0,21872,Pave,Norm,Norm,1996.0,TA,2,3.0,175000,
455,80.0,9600,Pave,Norm,Norm,1973.0,TA,1,3.0,175500,
566,77.0,11198,Pave,Norm,Norm,2005.0,Gd,2,4.0,325000,
158,100.0,12552,Pave,Norm,Norm,2004.0,Gd,2,3.0,254900,
457,,53227,Pave,Norm,Norm,1954.0,TA,1,2.0,256000,
1020,60.0,7024,Pave,Norm,Norm,2005.0,TA,1,2.0,176000,
1356,,9477,Pave,Norm,Norm,1966.0,TA,1,3.0,110000,
646,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,3.0,98300,
794,,10832,Pave,Norm,Norm,1994.0,Gd,2,3.0,194500,
831,30.0,3180,Pave,Norm,Norm,2005.0,TA,2,2.0,151000,
738,60.0,10800,Pave,Norm,Norm,1987.0,TA,3,3.0,179000,
311,50.0,8000,Pave,Norm,Norm,1948.0,TA,1,2.0,132000,
712,40.0,4671,Pave,Norm,Norm,1988.0,Gd,2,2.0,189000,
610,,11050,Pave,PosN,Norm,2000.0,Gd,2,3.0,313000,
422,100.0,21750,Pave,Artery,Norm,1954.0,TA,1,2.0,113000,
729,52.0,6240,Pave,Norm,Norm,1925.0,TA,1,2.0,103000,
688,60.0,8089,Pave,Norm,Norm,2007.0,Gd,2,2.0,392000,
905,80.0,9920,Pave,Norm,Norm,1954.0,TA,1,3.0,128000,
952,60.0,7200,Pave,Norm,Norm,1972.0,TA,1,2.0,133900,
1245,78.0,12090,Pave,Norm,Norm,1984.0,TA,3,3.0,178000,
1326,70.0,4270,Pave,Norm,Norm,1931.0,TA,1,3.0,79000,
905,80.0,9920,Pave,Norm,Norm,1954.0,TA,1,3.0,128000,
548,49.0,8235,Pave,Feedr,RRNn,1955.0,TA,1,2.0,125000,
1089,37.0,3316,Pave,Norm,Norm,2005.0,Gd,1,1.0,197000,
248,72.0,11317,Pave,Norm,Norm,2003.0,Gd,2,3.0,180000,
472,35.0,3675,Pave,Norm,Norm,2005.0,TA,1,2.0,148000,
465,,3072,Pave,Norm,Norm,2004.0,Gd,2,2.0,178740,
330,,10624,,Norm,Norm,1964.0,TA,2,6.0,119000,
746,,8795,Pave,Norm,Norm,2000.0,Gd,2,4.0,236000,
1378,21.0,1953,Pave,Norm,Norm,1973.0,TA,1,2.0,83000,
924,79.0,10240,Pave,Norm,Norm,1980.0,TA,2,3.0,207500,
644,85.0,9187,Pave,Norm,Norm,2009.0,Ex,2,2.0,370878,
1162,109.0,8724,Pave,Norm,Norm,1968.0,TA,1,3.0,129000,
687,,5105,Pave,Norm,Norm,2004.0,Gd,2,,148800,
17,72.0,10791,,Norm,Norm,1967.0,TA,2,2.0,90000,
1089,37.0,3316,Pave,Norm,Norm,2005.0,Gd,1,1.0,197000,
52,110.0,8472,Grvl,RRNn,Norm,1963.0,Fa,1,2.0,110000,
777,100.0,13350,Pave,Norm,Norm,1974.0,TA,1,3.0,142500,
141,78.0,11645,Pave,Norm,Norm,2005.0,Gd,2,3.0,260000,
737,72.0,10463,Pave,Norm,Norm,2005.0,Gd,2,3.0,239900,
1434,80.0,17400,,Norm,Norm,,TA,2,3.0,160000,
1134,57.0,8773,Pave,Norm,Norm,1997.0,TA,2,3.0,169000,
827,65.0,8529,Pave,Norm,Norm,2001.0,Gd,2,3.0,189000,
131,,12224,Pave,Norm,Norm,2000.0,Gd,2,3.0,244000,
522,50.0,5000,Pave,Feedr,Norm,1947.0,TA,2,3.0,159000,
156,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,2.0,109500,
335,,164660,Grvl,Norm,Norm,1965.0,TA,2,3.0,228950,
508,60.0,9600,Pave,Norm,Norm,1928.0,TA,2,3.0,161000,
693,60.0,5400,Pave,Norm,Norm,1921.0,TA,1,2.0,108480,
423,80.0,9200,Pave,Norm,Norm,1998.0,Gd,2,4.0,315000,
130,88.0,14200,Pave,Norm,Norm,1966.0,TA,2,4.0,226000,
373,79.0,10634,Pave,Norm,Norm,1953.0,TA,1,3.0,123000,
641,,7050,Pave,Norm,Norm,2001.0,Gd,2,3.0,226000,
1086,,1974,Pave,Norm,Norm,1973.0,TA,1,3.0,83500,
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,
663,90.0,10012,Pave,Norm,Norm,1972.0,TA,2,3.0,137500,
159,134.0,19378,Pave,Norm,Norm,2005.0,Gd,2,4.0,320000,
854,102.0,17920,Pave,Norm,Norm,1955.0,TA,1,3.0,170000,
954,35.0,9400,Pave,Norm,Norm,1975.0,TA,2,4.0,127500,
739,65.0,9313,Pave,Norm,Norm,2004.0,Gd,2,3.0,190000,
980,,12122,Pave,Norm,Norm,1961.0,Ex,1,3.0,178400,
8,51.0,6120,Pave,Artery,Norm,1931.0,TA,2,2.0,129900,
1440,79.0,11526,,Norm,Norm,1922.0,TA,2,3.0,191000,
1226,86.0,14598,Pave,Feedr,Norm,2007.0,Gd,2,4.0,214000,
236,65.0,8773,Pave,Norm,Norm,2004.0,Gd,2,3.0,185500,
1131,63.0,10712,Pave,Norm,Norm,1991.0,TA,1,3.0,93500,
486,79.0,10289,Pave,Norm,Norm,1965.0,TA,1,3.0,156000,
1219,21.0,1680,,Norm,Norm,1971.0,TA,1,3.0,91500,
877,74.0,8834,Pave,Norm,Norm,2004.0,Gd,2,4.0,350000,
711,66.0,8712,Pave,Norm,Norm,,TA,1,2.0,102776,
210,67.0,5604,Pave,Norm,Norm,1925.0,TA,1,2.0,98000,
441,92.0,12108,Pave,Norm,Norm,1955.0,TA,2,4.0,118000,
635,60.0,10896,Pave,Feedr,Norm,1914.0,Fa,2,8.0,200000,
687,,5105,Pave,Norm,Norm,2004.0,Gd,2,,148800,
10,70.0,11200,,Norm,Norm,1965.0,TA,1,3.0,129500,
42,,9180,Pave,Norm,Norm,1983.0,TA,1,2.0,144000,
1427,60.0,10930,Pave,Artery,Norm,1945.0,TA,1,3.0,140000,
1165,79.0,9541,Pave,Norm,Norm,2009.0,Gd,2,3.0,233170,
1260,,24682,Pave,RRAn,Norm,1999.0,TA,2,3.0,181000,
379,60.0,8123,Pave,RRAn,Norm,2000.0,TA,2,3.0,179000,
316,94.0,13005,Pave,Norm,Norm,1980.0,Gd,2,4.0,260000,
867,85.0,6970,Pave,Feedr,Norm,1961.0,TA,1,3.0,129000,
158,100.0,12552,Pave,Norm,Norm,2004.0,Gd,2,3.0,254900,
1364,30.0,3180,Pave,Norm,Norm,2005.0,Gd,2,2.0,144152,
1311,68.0,8814,Pave,Norm,Norm,2005.0,Gd,2,3.0,203000,
1344,85.0,11103,Pave,Norm,Norm,2006.0,Gd,2,3.0,155835,
272,92.0,11764,Pave,Norm,Norm,1999.0,Gd,2,4.0,290000,
1047,57.0,9245,Pave,Norm,Norm,1994.0,TA,1,3.0,145000,
1264,34.0,4060,Pave,Norm,Norm,1998.0,Gd,2,2.0,181000,
1249,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,3.0,119000,
96,78.0,10264,Pave,Norm,Norm,1999.0,Gd,2,3.0,214000,
854,102.0,17920,Pave,Norm,Norm,1955.0,TA,1,3.0,170000,
678,80.0,11844,Pave,Norm,Norm,2008.0,Gd,2,3.0,372500,
491,79.0,9490,Pave,Artery,Norm,1941.0,TA,1,3.0,133000,
1152,90.0,14115,Pave,Norm,Norm,1956.0,TA,1,2.0,230000,
1367,41.0,2665,Pave,Norm,Norm,1977.0,TA,2,4.0,127000,
711,66.0,8712,Pave,Norm,Norm,,TA,1,2.0,102776,
365,59.0,10690,Pave,Norm,Norm,1920.0,TA,1,3.0,147000,
1409,46.0,20544,Pave,Norm,Norm,1986.0,TA,2,3.0,215000,
895,71.0,7056,Pave,Norm,Norm,1963.0,TA,1,4.0,140000,
31,,8544,Pave,Norm,Norm,1966.0,TA,1,3.0,149350,
1004,43.0,3182,Pave,Norm,Norm,2005.0,Gd,2,1.0,181000,
335,,164660,Grvl,Norm,Norm,1965.0,TA,2,3.0,228950,
114,61.0,7259,Pave,Norm,Norm,1945.0,TA,2,3.0,259500,
1015,70.0,8400,Pave,Norm,Norm,2001.0,Gd,2,3.0,227000,
409,85.0,10800,Pave,Norm,Norm,2007.0,Gd,2,3.0,339750,
1222,78.0,10496,Pave,Artery,Norm,1949.0,TA,2,3.0,143000,
1438,90.0,7407,Pave,Artery,Norm,1957.0,TA,1,2.0,149700,
209,75.0,8250,Pave,Norm,Norm,1964.0,TA,1,3.0,145000,
1433,93.0,10261,Pave,Norm,Norm,2000.0,TA,2,3.0,186500,
966,130.0,9600,Pave,Norm,Norm,1940.0,Gd,1,2.0,160000,
6,75.0,10084,Pave,Norm,Norm,2004.0,Gd,2,3.0,307000,
620,45.0,8248,Pave,Norm,Norm,1914.0,TA,1,2.0,67000,
58,66.0,13682,Pave,Norm,Norm,2006.0,Ex,3,3.0,438780,
1115,93.0,12085,Pave,Norm,Norm,2007.0,Gd,2,3.0,318000,
934,313.0,27650,Pave,PosA,Norm,1960.0,TA,2,4.0,242000,
1453,90.0,17217,Pave,Norm,Norm,2006.0,TA,1,3.0,84500,
616,,7861,Pave,Norm,Norm,2002.0,Gd,2,3.0,183200,
835,60.0,9600,Pave,Norm,Norm,1950.0,TA,2,2.0,128000,
18,66.0,13695,Pave,RRAe,Norm,2004.0,TA,1,3.0,159000,
291,55.0,5687,Pave,Norm,Norm,1912.0,TA,2,6.0,135900,
1241,83.0,9849,Pave,Norm,Norm,2007.0,Gd,2,3.0,248328,
717,80.0,10000,Pave,Norm,Norm,1973.0,TA,1,3.0,157000,
143,78.0,10335,Pave,Norm,Norm,1999.0,Gd,2,3.0,204000,
963,122.0,11923,Pave,Norm,Norm,2007.0,Gd,2,2.0,239000,
619,85.0,12244,Pave,Norm,Norm,2003.0,Gd,2,4.0,305000,
634,64.0,6979,,Norm,Norm,1980.0,TA,-1,0.0,144000,
793,76.0,9158,Pave,Norm,Norm,2007.0,Gd,2,3.0,225000,
713,60.0,9873,Pave,RRAn,Norm,1970.0,TA,1,3.0,129000,
1414,64.0,13053,Pave,Norm,Norm,1923.0,TA,1,4.0,207000,
521,90.0,11988,Pave,Feedr,Norm,1957.0,TA,1,3.0,150000,
672,,11250,Pave,Norm,Norm,1977.0,Gd,1,3.0,165000,
1191,24.0,2645,,Norm,Norm,1999.0,Gd,2,2.0,174000,
11,85.0,11924,Pave,Norm,Norm,2005.0,Ex,3,4.0,345000,
415,73.0,8899,Pave,Norm,Norm,2007.0,Gd,2,3.0,181134,
49,66.0,7742,Pave,Norm,Norm,1966.0,TA,1,3.0,127000,
864,72.0,8640,Pave,Norm,Norm,2007.0,Gd,2,3.0,250580,
472,35.0,3675,Pave,Norm,Norm,2005.0,TA,1,2.0,148000,
947,85.0,14536,Pave,Norm,Norm,2002.0,Gd,2,3.0,270000,
1301,,7500,Pave,Norm,Norm,1942.0,TA,1,3.0,177500,
1309,,7153,Pave,Norm,Norm,1991.0,TA,2,3.0,179200,
946,70.0,8163,Pave,Norm,Norm,1959.0,TA,1,3.0,143000,
110,75.0,9525,Pave,Norm,Norm,1954.0,TA,2,4.0,136900,
1367,41.0,2665,Pave,Norm,Norm,1977.0,TA,2,4.0,127000,
16,,11241,Pave,Norm,Norm,1970.0,TA,1,2.0,149000,
820,72.0,7226,Pave,Norm,Norm,2003.0,Gd,2,3.0,183000,
1300,,10762,Pave,Norm,Norm,1999.0,Gd,2,3.0,225000,
1216,68.0,8930,Pave,RRAe,Norm,1978.0,TA,2,4.0,112000,
1067,80.0,9760,Pave,Norm,Norm,1964.0,TA,1,4.0,167900,
1273,124.0,11512,Pave,Norm,Norm,1959.0,TA,1,2.0,177000,
645,,10530,Pave,Norm,Norm,1971.0,TA,1,3.0,143250,
273,80.0,9600,Pave,Feedr,Norm,1958.0,TA,2,3.0,139000,
895,71.0,7056,Pave,Norm,Norm,1963.0,TA,1,4.0,140000,
1274,53.0,5362,Pave,Norm,Norm,1910.0,TA,2,3.0,139000,
399,65.0,8125,Pave,Norm,Norm,2006.0,Gd,2,2.0,241000,
1131,63.0,10712,Pave,Norm,Norm,1991.0,TA,1,3.0,93500,
112,77.0,9965,Pave,Norm,Norm,2007.0,Gd,2,4.0,383970,
355,105.0,11249,Pave,Norm,Norm,1995.0,Gd,2,3.0,177500,
460,75.0,8004,Pave,RRAn,Norm,2009.0,Gd,2,3.0,263435,
677,52.0,9022,Pave,Norm,Norm,1924.0,Gd,1,2.0,109500,
