date,confirmed,deaths
2020-07-28,12647,383
2020-07-29,13896,330
2020-07-30,14809,321
2020-07-31,13298,287
2020-08-01,10014,239
2020-08-02,6367,81
2020-08-03,1533,48
2020-08-04,15371,337
2020-08-05,9676,407
2020-08-06,13405,339
2020-08-07,9709,287
2020-08-08,13352,281
2020-08-09,5395,98
2020-08-10,1289,37
2020-08-11,11147,420
2020-08-12,15619,298
2020-08-13,19274,455
2020-08-14,11667,289
2020-08-15,11408,167
2020-08-16,1963,72
2020-08-17,3172,47
2020-08-18,8865,416
2020-08-19,9847,276
2020-08-20,9451,314
2020-08-21,5132,250
2020-08-22,13284,237
2020-08-23,4885,75
2020-08-24,2351,38
2020-08-25,9190,407
2020-08-26,10465,282
2020-08-27,8318,221
2020-08-28,11756,279
2020-08-29,5213,250
2020-08-30,1982,34
2020-08-31,938,36
2020-09-01,10033,361
2020-09-02,11956,298
2020-09-03,11647,232
2020-09-04,7038,186
2020-09-05,8069,222
2020-09-06,2637,40
2020-09-07,1608,24
2020-09-08,1453,53
2020-09-09,7793,391
2020-09-10,8178,283
2020-09-11,8055,234
2020-09-12,7881,229
2020-09-13,1567,39
2020-09-14,1092,36
2020-09-15,7922,321
2020-09-16,8157,290
2020-09-17,7393,219
2020-09-18,7711,206
2020-09-19,7141,249
2020-09-20,3627,25
2020-09-21,2032,32
2020-09-22,8090,282
2020-09-23,6551,226
2020-09-24,6267,185
2020-09-25,6681,200
2020-09-26,5967,186
2020-09-27,1349,45
2020-09-28,905,17
2020-09-29,6377,266
2020-09-30,6109,231
2020-10-01,6097,182
2020-10-02,5608,152
2020-10-03,6096,180
2020-10-04,473,42
2020-10-05,677,42
2020-10-06,6260,270
2020-10-07,5916,179
2020-10-08,5649,215
2020-10-09,5786,184
2020-10-10,6626,155
2020-10-11,2844,33
2020-10-12,684,23
2020-10-13,685,35
2020-10-14,6031,227
2020-10-15,6553,149
2020-10-16,5627,180
2020-10-17,5394,122
2020-10-18,968,28
2020-10-19,437,15
2020-10-20,4923,211
2020-10-21,4299,125
2020-10-22,3678,111
2020-10-23,6702,126
2020-10-24,5614,118
2020-10-25,2725,21
2020-10-26,863,6
2020-10-27,5364,132
2020-10-28,5375,122
2020-10-29,5278,112
2020-10-30,4928,136
2020-10-31,2339,56
2020-11-01,1020,20
2020-11-02,648,15
2020-11-03,749,18
2020-11-04,4755,185
2020-11-05,2637,168
2020-11-10,21515,0
2020-11-11,3421,190
2020-11-12,5780,295
2020-11-13,6130,0
2020-11-14,4640,347
2020-11-15,1218,15
2020-11-16,737,12
2020-11-17,8698,173
2020-11-18,6421,178
2020-11-19,6794,147
2020-11-20,9058,105
2020-11-21,5087,77
2020-11-22,4153,11
2020-11-23,1037,9
2020-11-24,5219,179
2020-11-25,8900,146
2020-11-26,4523,172
2020-11-27,4320,129
2020-11-28,4507,146
2020-11-29,2379,28
2020-11-30,1180,19
2020-12-01,8937,195
2020-12-02,9114,166
2020-12-03,8208,181
2020-12-04,8237,151
2020-12-05,8938,181
2020-12-06,2675,46
2020-12-07,1116,25
2020-12-08,7923,242
2020-12-09,9784,179
2020-12-10,9786,200
2020-12-11,8791,141
2020-12-12,8601,169
2020-12-13,940,47
2020-12-14,2313,32
2020-12-15,4412,232
2020-12-17,20303,399
2020-12-18,9922,197
2020-12-19,12447,151
2020-12-20,0,0
2020-12-21,3943,107
2020-12-22,10714,259
2020-12-23,10383,181
2020-12-24,9351,182
2020-12-25,3596,37
2020-12-26,1253,13
2020-12-27,2836,55
2020-12-28,1576,39
2020-12-29,12477,293
2020-12-30,11849,282
