Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,809.0,Research & Development,16.0,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,0,13,3,3,6,5,3.0,5,4,0,3
29,No,Travel_Rarely,153.0,Research & Development,,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,0,12,3,4,10,3,3.0,9,5,0,8
31,No,Travel_Rarely,670.0,Research & Development,26.0,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,1,17,3,4,5,1,2.0,5,2,4,3
34,No,Travel_Rarely,1346.0,Research & Development,19.0,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,0,11,3,3,3,2,3.0,2,2,1,2
28,Yes,Travel_Rarely,103.0,Research & Development,24.0,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,5,14,3,2,6,4,3.0,4,2,0,3
29,No,Travel_Rarely,1389.0,Research & Development,21.0,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,1,11,3,3,10,1,3.0,10,9,8,8
32,No,Travel_Rarely,334.0,Research & Development,5.0,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,0,12,3,4,7,5,2.0,6,2,0,5
22,No,Non-Travel,1123.0,Research & Development,16.0,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,1,13,3,2,1,2,2.0,1,0,0,0
53,No,Travel_Rarely,1219.0,Sales,2.0,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,2,16,3,3,31,3,3.0,25,8,3,7
38,No,Travel_Rarely,371.0,Research & Development,2.0,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,5,11,3,3,6,3,3.0,3,2,1,2
24,No,Non-Travel,673.0,Research & Development,11.0,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,0,18,3,4,5,5,2.0,4,2,1,3
36,Yes,Travel_Rarely,1218.0,Sales,9.0,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,7,23,4,2,10,4,,5,3,0,3
34,No,Travel_Rarely,419.0,Research & Development,7.0,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,0,11,3,3,13,4,3.0,12,6,2,11
21,No,Travel_Rarely,391.0,Research & Development,15.0,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1,14,3,4,0,6,,0,0,0,0
34,Yes,Travel_Rarely,699.0,Research & Development,6.0,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2,11,3,3,8,2,3.0,4,2,1,3
53,No,Travel_Rarely,1282.0,Research & Development,5.0,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,4,11,3,4,26,3,2.0,14,13,4,8
32,Yes,Travel_Frequently,1125.0,Research & Development,16.0,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,1,22,4,2,10,5,,10,2,6,7
42,No,Travel_Rarely,691.0,Sales,8.0,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,0,11,3,4,10,2,3.0,9,7,4,2
44,No,Travel_Rarely,477.0,Research & Development,,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,3,14,3,4,24,4,,22,6,5,17
46,No,Travel_Rarely,705.0,Sales,,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,3,12,3,4,22,2,2.0,2,2,2,1
33,No,Travel_Rarely,,Research & Development,2.0,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,4,11,3,4,7,3,3.0,1,1,0,0
44,No,Travel_Rarely,1459.0,Research & Development,,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,2,13,3,4,9,5,4.0,4,2,1,3
30,No,Travel_Rarely,125.0,Research & Development,9.0,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,1,13,3,1,10,5,3.0,10,0,1,8
39,Yes,Travel_Rarely,895.0,Sales,5.0,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,3,14,3,3,19,6,4.0,1,0,0,0
24,Yes,Travel_Rarely,813.0,Research & Development,1.0,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2,16,3,1,6,2,,2,0,2,0
43,No,Travel_Rarely,1273.0,Research & Development,2.0,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,1,12,3,4,6,3,2.0,5,3,1,4
50,Yes,Travel_Rarely,869.0,Sales,,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,1,14,3,3,3,2,,3,2,0,2
35,No,Travel_Rarely,890.0,Sales,,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,1,13,3,1,2,3,3.0,2,2,2,2
36,No,Travel_Rarely,852.0,Research & Development,5.0,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,9,14,3,4,6,3,4.0,1,1,0,0
33,No,Travel_Frequently,1141.0,Sales,,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,2,19,3,1,10,3,3.0,5,3,1,3
35,No,Travel_Rarely,464.0,Research & Development,,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1,12,3,3,1,3,,1,0,0,0
27,No,Travel_Rarely,1240.0,Research & Development,2.0,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,1,13,3,4,1,6,3.0,1,0,0,0
26,Yes,Travel_Rarely,1357.0,Research & Development,25.0,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,1,12,3,3,1,2,2.0,1,0,0,1
27,No,Travel_Frequently,994.0,Sales,8.0,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,1,15,3,4,9,0,3.0,9,8,1,7
30,No,Travel_Frequently,721.0,Research & Development,1.0,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,1,23,4,4,12,2,3.0,12,8,3,7
41,Yes,Travel_Rarely,1360.0,Research & Development,12.0,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,1,12,3,4,23,0,3.0,22,15,15,8
34,No,Non-Travel,1065.0,Sales,,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,0,20,4,3,10,2,,9,5,8,7
37,No,Travel_Rarely,,Research & Development,19.0,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,4,21,4,1,8,1,3.0,1,0,0,0
46,No,Travel_Frequently,1211.0,Sales,5.0,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,4,21,4,3,14,4,3.0,9,6,0,8
35,No,Travel_Rarely,1229.0,Research & Development,8.0,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,1,19,3,4,1,2,3.0,1,0,0,1
48,Yes,Travel_Rarely,626.0,Research & Development,1.0,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,9,13,3,4,23,2,3.0,1,0,0,0
28,Yes,Travel_Rarely,1434.0,Research & Development,5.0,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,1,13,3,3,2,3,2.0,2,2,2,2
44,No,Travel_Rarely,,Sales,1.0,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5,21,4,3,9,2,2.0,4,3,1,3
35,No,Non-Travel,1097.0,Research & Development,11.0,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,2,13,3,3,10,3,3.0,4,0,2,3
26,No,Travel_Rarely,1443.0,Sales,23.0,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,7,19,3,3,5,2,,2,2,0,0
33,No,Travel_Frequently,,Research & Development,1.0,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,1,12,3,3,15,1,3.0,15,14,8,12
35,No,Travel_Frequently,853.0,Sales,18.0,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,1,22,4,4,9,3,2.0,9,8,1,8
35,No,Travel_Rarely,1142.0,Research & Development,23.0,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,3,15,3,3,4,3,3.0,2,2,2,2
31,No,Travel_Rarely,655.0,Research & Development,7.0,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,3,22,4,4,10,3,2.0,7,7,1,7
37,No,Travel_Rarely,1115.0,Research & Development,1.0,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,1,18,3,3,7,2,4.0,7,5,0,7
32,No,Travel_Rarely,427.0,Research & Development,1.0,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,1,22,4,2,9,3,,9,8,7,8
38,No,Travel_Frequently,653.0,Research & Development,29.0,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,1,11,3,4,10,2,3.0,10,3,9,9
50,No,Travel_Rarely,989.0,Research & Development,,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,5,12,3,4,29,2,2.0,27,3,13,8
59,No,Travel_Rarely,1435.0,Sales,25.0,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7,11,3,4,28,3,2.0,21,16,7,9
36,No,Travel_Rarely,1223.0,Research & Development,8.0,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,1,13,3,2,17,2,3.0,17,14,12,8
55,No,Travel_Rarely,836.0,Research & Development,8.0,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,2,14,3,3,21,2,3.0,5,0,0,2
36,No,Travel_Frequently,1195.0,Research & Development,11.0,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,1,13,3,3,6,3,3.0,6,5,0,3
45,No,Travel_Rarely,1339.0,Research & Development,,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,2,17,3,3,25,2,3.0,1,0,0,0
35,No,Travel_Frequently,664.0,Research & Development,1.0,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,4,13,3,4,5,2,2.0,3,2,1,2
36,Yes,Travel_Rarely,318.0,Research & Development,9.0,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,0,17,3,1,2,0,2.0,1,0,0,0
59,No,Travel_Frequently,1225.0,Sales,1.0,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,7,11,3,4,20,2,2.0,4,3,1,3
29,No,Travel_Rarely,1328.0,Research & Development,2.0,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,0,23,4,4,6,3,3.0,5,4,0,4
31,No,Travel_Rarely,1082.0,Research & Development,1.0,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,1,17,3,2,1,4,3.0,1,1,1,0
32,No,Travel_Rarely,548.0,Research & Development,1.0,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,1,17,3,2,10,3,,10,4,0,9
36,No,Travel_Rarely,132.0,Research & Development,6.0,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3,12,3,2,5,3,3.0,1,0,0,0
31,No,Travel_Rarely,746.0,Research & Development,,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,1,23,4,4,11,2,3.0,11,7,1,8
35,No,Travel_Rarely,776.0,Sales,1.0,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,0,14,3,2,16,2,,15,13,2,8
45,No,Travel_Rarely,193.0,Research & Development,6.0,4,Other,101,4,Male,52,3,3,Research Director,1,Married,4,14,3,2,17,3,4.0,0,0,0,0
37,No,Travel_Rarely,397.0,Research & Development,7.0,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,4,13,3,1,16,3,4.0,5,2,0,2
46,No,Travel_Rarely,945.0,Human Resources,5.0,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,8,22,4,4,16,2,3.0,4,2,0,2
30,No,Travel_Rarely,852.0,Research & Development,1.0,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,1,12,3,3,10,1,2.0,10,8,3,0
35,No,Travel_Rarely,1214.0,Research & Development,1.0,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,1,18,3,1,6,3,3.0,6,4,0,4
55,No,Travel_Rarely,111.0,Sales,,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,3,14,3,4,24,4,3.0,1,0,1,0
38,No,Non-Travel,573.0,Research & Development,6.0,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,7,12,3,4,17,3,3.0,13,11,1,9
34,No,Travel_Rarely,1153.0,Research & Development,,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,1,15,3,3,5,2,3.0,5,2,1,3
56,No,Travel_Rarely,1400.0,Research & Development,7.0,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,4,11,3,1,37,3,2.0,6,4,0,2
23,No,Travel_Rarely,541.0,Sales,2.0,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,3,13,3,3,3,3,3.0,0,0,0,0
51,No,Travel_Rarely,432.0,Research & Development,,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,3,23,4,2,10,4,3.0,4,2,0,3
30,No,Travel_Rarely,288.0,Research & Development,2.0,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,1,19,3,1,11,3,3.0,11,10,10,8
46,Yes,Travel_Rarely,669.0,Sales,9.0,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,1,16,3,4,9,3,3.0,9,8,4,7
40,No,Travel_Frequently,530.0,Research & Development,,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,1,22,4,4,22,3,2.0,22,3,11,11
51,No,Travel_Rarely,632.0,Sales,21.0,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,0,22,4,4,11,2,1.0,10,7,1,0
30,No,Travel_Rarely,1334.0,Sales,4.0,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,1,12,3,2,11,4,2.0,11,8,2,7
46,No,Travel_Frequently,638.0,Research & Development,1.0,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,2,13,3,3,21,5,2.0,10,9,9,5
32,No,Travel_Rarely,1093.0,Sales,6.0,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,1,16,3,1,12,0,3.0,11,8,5,7
54,No,Travel_Rarely,1217.0,Research & Development,,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,9,12,3,1,16,5,1.0,4,3,0,3
24,No,Travel_Rarely,1353.0,Sales,3.0,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,0,21,4,1,4,2,2.0,3,2,0,2
28,No,Non-Travel,120.0,Sales,4.0,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,1,15,3,2,5,3,4.0,5,4,0,4
58,No,Travel_Rarely,682.0,Sales,,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,0,13,3,3,38,1,2.0,37,10,1,8
44,No,Non-Travel,489.0,Research & Development,,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,4,12,3,3,17,3,4.0,3,2,1,2
37,Yes,Travel_Rarely,807.0,Human Resources,6.0,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,4,22,4,4,7,3,3.0,3,2,0,2
32,No,Travel_Rarely,827.0,Research & Development,1.0,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,1,13,3,4,1,2,3.0,1,0,0,0
20,Yes,Travel_Frequently,871.0,Research & Development,6.0,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,1,18,3,2,1,5,3.0,1,0,1,0
34,No,Travel_Rarely,665.0,Research & Development,6.0,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,1,14,3,3,16,3,3.0,16,13,2,10
37,No,Non-Travel,1040.0,Research & Development,2.0,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5,14,3,4,17,2,4.0,1,0,0,0
59,No,Non-Travel,1420.0,Human Resources,2.0,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,9,21,4,4,30,3,3.0,3,2,2,2
50,No,Travel_Frequently,1115.0,Research & Development,1.0,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,3,19,3,1,28,1,2.0,8,3,0,7
25,Yes,Travel_Rarely,240.0,Sales,5.0,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,1,11,3,4,6,1,3.0,6,4,0,3
25,No,Travel_Rarely,1280.0,Research & Development,7.0,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,1,11,3,3,2,2,3.0,2,2,2,1
22,No,Travel_Rarely,534.0,Research & Development,15.0,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,1,15,3,3,1,5,3.0,0,0,0,0
51,No,Travel_Frequently,1456.0,Research & Development,1.0,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,3,20,4,3,23,1,2.0,13,12,12,8
34,Yes,Travel_Frequently,658.0,Research & Development,7.0,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,1,24,4,4,9,3,3.0,9,7,0,6
54,No,Non-Travel,142.0,Human Resources,26.0,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,2,12,3,3,23,3,3.0,5,3,4,4
24,No,Travel_Rarely,1127.0,Research & Development,18.0,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,0,12,3,3,6,2,3.0,5,3,1,2
34,No,Travel_Rarely,1031.0,Research & Development,6.0,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,6,15,3,3,12,3,3.0,1,0,0,0
37,No,Travel_Rarely,1189.0,Sales,3.0,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,2,12,3,1,12,3,3.0,5,3,1,3
34,No,Travel_Rarely,,Research & Development,5.0,3,Medical,153,3,Female,45,2,3,Manager,1,Single,2,12,3,4,14,6,3.0,11,10,5,8
36,No,Travel_Frequently,1467.0,Sales,11.0,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,0,14,3,3,10,6,3.0,9,7,2,8
36,No,Travel_Rarely,922.0,Research & Development,3.0,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,5,22,4,1,7,2,3.0,1,0,0,0
43,No,Travel_Frequently,394.0,Sales,,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,1,12,3,4,25,3,4.0,25,12,4,12
30,No,Travel_Frequently,1312.0,Research & Development,,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,1,25,4,3,10,2,2.0,10,7,0,9
33,No,Non-Travel,750.0,Sales,22.0,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,0,13,3,1,8,2,4.0,7,7,0,7
56,Yes,Travel_Rarely,441.0,Research & Development,14.0,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,9,18,3,1,7,2,3.0,5,4,4,3
51,No,Travel_Rarely,684.0,Research & Development,6.0,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,7,13,3,3,23,5,3.0,20,18,15,15
31,Yes,Travel_Rarely,249.0,Sales,,4,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,4,18,3,2,12,3,2.0,7,7,7,7
26,No,Travel_Rarely,841.0,Research & Development,,3,Other,164,3,Female,46,2,1,Research Scientist,2,Married,1,19,3,3,5,3,2.0,5,4,4,3
58,Yes,Travel_Rarely,147.0,Research & Development,23.0,4,Medical,165,4,Female,94,3,3,Healthcare Representative,4,Married,1,12,3,4,40,3,2.0,40,10,15,6
19,Yes,Travel_Rarely,528.0,Sales,,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,1,19,3,4,0,2,2.0,0,0,0,0
22,No,Travel_Rarely,594.0,Research & Development,2.0,1,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,0,14,3,3,3,2,,2,1,2,1
49,No,Travel_Rarely,470.0,Research & Development,20.0,4,Medical,170,3,Female,96,3,2,Manufacturing Director,1,Married,1,14,3,3,16,2,2.0,15,11,5,11
43,No,Travel_Frequently,957.0,Research & Development,,3,Medical,171,2,Female,72,4,1,Research Scientist,3,Single,4,12,3,4,18,2,3.0,3,2,1,2
50,No,Travel_Frequently,809.0,Sales,12.0,3,Marketing,174,3,Female,77,3,3,Sales Executive,4,Single,4,11,3,4,16,3,3.0,2,2,2,1
31,Yes,Travel_Rarely,542.0,Sales,20.0,3,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,3,11,3,3,4,2,3.0,2,2,2,2
41,No,Travel_Rarely,802.0,Sales,9.0,1,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,3,13,3,3,12,2,3.0,9,7,0,7
26,No,Travel_Rarely,1355.0,Human Resources,25.0,1,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,1,23,4,4,8,3,,8,7,5,7
36,No,Travel_Rarely,216.0,Research & Development,6.0,2,Medical,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,6,20,4,4,7,0,3.0,3,2,0,1
51,Yes,Travel_Frequently,1150.0,Research & Development,,4,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,2,15,3,4,18,2,3.0,4,2,0,3
39,No,Travel_Rarely,1329.0,Sales,,4,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,4,14,3,3,17,1,4.0,15,11,5,9
25,No,Travel_Rarely,959.0,Sales,,3,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,2,18,3,4,6,3,3.0,2,2,2,2
30,No,Travel_Rarely,1240.0,Human Resources,9.0,3,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,0,19,3,4,12,2,,11,9,4,7
32,Yes,Travel_Rarely,1033.0,Research & Development,9.0,3,Medical,190,1,Female,41,3,1,Laboratory Technician,1,Single,7,22,4,1,10,2,4.0,5,4,0,4
45,No,Travel_Rarely,1316.0,Research & Development,29.0,3,Medical,192,3,Male,83,3,1,Research Scientist,4,Single,5,13,3,2,9,2,2.0,6,5,0,3
38,No,Travel_Rarely,364.0,Research & Development,,5,Technical Degree,193,4,Female,32,3,2,Research Scientist,3,Single,3,20,4,2,19,2,3.0,3,2,2,2
30,No,Travel_Rarely,438.0,Research & Development,18.0,3,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,1,14,3,3,5,4,2.0,5,4,0,4
32,No,Travel_Frequently,689.0,Sales,9.0,2,Medical,195,4,Male,35,1,2,Sales Executive,4,Divorced,0,17,3,4,9,2,4.0,8,7,0,7
30,No,Travel_Rarely,201.0,Research & Development,5.0,3,Technical Degree,197,4,Female,84,3,1,Research Scientist,1,Divorced,5,14,3,4,8,3,3.0,3,2,2,2
30,No,Travel_Rarely,1427.0,Research & Development,2.0,1,Medical,198,2,Male,35,2,1,Laboratory Technician,4,Single,0,13,3,4,6,3,3.0,5,3,1,2
41,No,Travel_Frequently,857.0,Research & Development,10.0,3,Life Sciences,199,4,Male,91,2,4,Manager,1,Divorced,4,13,3,2,21,2,2.0,7,6,7,7
41,No,Travel_Rarely,933.0,Research & Development,9.0,4,Life Sciences,200,3,Male,94,3,1,Laboratory Technician,1,Married,2,21,4,4,7,2,3.0,5,0,1,4
19,No,Travel_Rarely,1181.0,Research & Development,,1,Medical,201,2,Female,79,3,1,Laboratory Technician,2,Single,1,14,3,4,1,3,3.0,1,0,0,0
40,No,Travel_Frequently,1395.0,Research & Development,26.0,3,Medical,202,2,Female,54,3,2,Research Scientist,2,Divorced,1,11,3,1,20,2,3.0,20,7,2,13
35,No,Travel_Rarely,662.0,Sales,1.0,5,Marketing,204,3,Male,94,3,3,Sales Executive,2,Married,1,13,3,1,10,3,3.0,10,8,0,6
53,No,Travel_Rarely,1436.0,Sales,6.0,2,Marketing,205,2,Male,34,3,2,Sales Representative,3,Married,2,20,4,4,13,3,,7,7,4,5
45,No,Travel_Rarely,194.0,Research & Development,9.0,3,Life Sciences,206,2,Male,60,3,2,Laboratory Technician,2,Divorced,8,18,3,3,20,2,,17,9,0,15
32,No,Travel_Frequently,967.0,Sales,8.0,3,Marketing,207,2,Female,43,3,3,Sales Executive,4,Single,1,14,3,4,9,2,,9,8,3,7
29,No,Non-Travel,1496.0,Research & Development,1.0,1,Technical Degree,208,4,Male,41,3,2,Manufacturing Director,3,Married,1,13,3,1,10,1,3.0,10,7,0,9
51,No,Travel_Rarely,1169.0,Research & Development,7.0,4,Medical,211,2,Male,34,2,2,Manufacturing Director,3,Married,2,17,3,3,10,2,3.0,1,0,0,0
58,No,Travel_Rarely,1145.0,Research & Development,9.0,3,Medical,214,2,Female,75,2,1,Research Scientist,2,Married,4,20,4,2,9,3,2.0,1,0,0,0
40,No,Travel_Rarely,630.0,Sales,,4,Marketing,215,3,Male,67,2,3,Sales Executive,4,Married,7,11,3,1,15,2,2.0,12,11,2,11
34,No,Travel_Frequently,303.0,Sales,2.0,4,Marketing,216,3,Female,75,3,1,Sales Representative,3,Married,6,18,3,4,6,3,3.0,4,3,1,2
22,No,Travel_Rarely,1256.0,Research & Development,19.0,1,Medical,217,3,Male,80,3,1,Research Scientist,4,Married,1,24,4,1,2,6,3.0,2,2,2,2
27,No,Non-Travel,691.0,Research & Development,9.0,3,Medical,218,4,Male,57,3,1,Research Scientist,2,Divorced,6,18,3,4,6,1,1.0,2,2,2,2
