record_id,month,day,year,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
474395,08,01,1854,52.8044,34.3544,Auckland,NEW,New Zealand,36.17S,175.03E
474396,09,01,1854,53.3912,33.683,Auckland,NEW,New Zealand,36.17S,175.03E
474397,10,01,1854,54.7538,37.4108,Auckland,NEW,New Zealand,36.17S,175.03E
474398,11,01,1854,57.317,35.0024,Auckland,NEW,New Zealand,36.17S,175.03E
474399,12,01,1854,60.0296,35.924,Auckland,NEW,New Zealand,36.17S,175.03E
474400,01,01,1855,63.3578,36.0716,Auckland,NEW,New Zealand,36.17S,175.03E
474401,02,01,1855,64.346,37.13,Auckland,NEW,New Zealand,36.17S,175.03E
474402,03,01,1855,63.6584,34.3058,Auckland,NEW,New Zealand,36.17S,175.03E
474403,04,01,1855,61.5848,34.7594,Auckland,NEW,New Zealand,36.17S,175.03E
474404,05,01,1855,58.0028,34.1996,Auckland,NEW,New Zealand,36.17S,175.03E
474405,06,01,1855,54.842,33.7568,Auckland,NEW,New Zealand,36.17S,175.03E
474406,07,01,1855,53.1554,33.5048,Auckland,NEW,New Zealand,36.17S,175.03E
474407,08,01,1855,52.3094,34.8422,Auckland,NEW,New Zealand,36.17S,175.03E
474408,09,01,1855,52.61,34.1042,Auckland,NEW,New Zealand,36.17S,175.03E
474409,10,01,1855,57.407,34.2302,Auckland,NEW,New Zealand,36.17S,175.03E
474410,11,01,1855,58.1558,33.7622,Auckland,NEW,New Zealand,36.17S,175.03E
474411,12,01,1855,60.9206,35.7026,Auckland,NEW,New Zealand,36.17S,175.03E
474412,01,01,1856,61.8422,37.9166,Auckland,NEW,New Zealand,36.17S,175.03E
474413,02,01,1856,62.033,37.8878,Auckland,NEW,New Zealand,36.17S,175.03E
474414,03,01,1856,62.1266,35.9114,Auckland,NEW,New Zealand,36.17S,175.03E
474415,04,01,1856,59.801,36.2966,Auckland,NEW,New Zealand,36.17S,175.03E
3817589,09,01,1770,57.2828,36.9176,Kiev,UKR,Ukraine,50.63N,31.69E
3817590,10,01,1770,47.111,39.6788,Kiev,UKR,Ukraine,50.63N,31.69E
3817591,11,01,1770,35.2544,39.7058,Kiev,UKR,Ukraine,50.63N,31.69E
3817592,12,01,1770,31.2152,45.059,Kiev,UKR,Ukraine,50.63N,31.69E
3817593,01,01,1771,24.1862,41.603,Kiev,UKR,Ukraine,50.63N,31.69E
3817594,02,01,1771,13.4978,38.498,Kiev,UKR,Ukraine,50.63N,31.69E
3817595,03,01,1771,23.7686,42.8378,Kiev,UKR,Ukraine,50.63N,31.69E
3817596,04,01,1771,40.262,42.233,Kiev,UKR,Ukraine,50.63N,31.69E
3817597,05,01,1771,56.7842,46.5656,Kiev,UKR,Ukraine,50.63N,31.69E
3817598,06,01,1771,67.2998,36.563,Kiev,UKR,Ukraine,50.63N,31.69E
3817599,07,01,1771,67.0532,35.1032,Kiev,UKR,Ukraine,50.63N,31.69E
3817600,08,01,1771,65.4584,36.1976,Kiev,UKR,Ukraine,50.63N,31.69E
3817601,09,01,1771,57.3836,35.3912,Kiev,UKR,Ukraine,50.63N,31.69E
3817602,10,01,1771,46.571,35.7674,Kiev,UKR,Ukraine,50.63N,31.69E
3817603,11,01,1771,30.2612,39.4826,Kiev,UKR,Ukraine,50.63N,31.69E
3817604,12,01,1771,26.0348,38.48,Kiev,UKR,Ukraine,50.63N,31.69E
3817605,01,01,1772,20.0858,41.4662,Kiev,UKR,Ukraine,50.63N,31.69E
3817606,02,01,1772,18.167,45.1274,Kiev,UKR,Ukraine,50.63N,31.69E
3817607,03,01,1772,28.265,39.6518,Kiev,UKR,Ukraine,50.63N,31.69E
3817608,04,01,1772,46.5566,39.0254,Kiev,UKR,Ukraine,50.63N,31.69E
3817609,05,01,1772,54.6566,35.5388,Kiev,UKR,Ukraine,50.63N,31.69E
3817610,06,01,1772,64.1786,38.2946,Kiev,UKR,Ukraine,50.63N,31.69E
3817611,07,01,1772,68.792,36.7628,Kiev,UKR,Ukraine,50.63N,31.69E
4433730,06,01,1906,61.8764,32.729,Lvov,UKR,Ukraine,50.63N,24.08E
4433731,07,01,1906,65.3324,32.5742,Lvov,UKR,Ukraine,50.63N,24.08E
4433732,08,01,1906,61.2536,32.4104,Lvov,UKR,Ukraine,50.63N,24.08E
4433733,09,01,1906,53.3516,32.5886,Lvov,UKR,Ukraine,50.63N,24.08E
4433734,10,01,1906,44.0546,32.5274,Lvov,UKR,Ukraine,50.63N,24.08E
4433735,11,01,1906,41.2808,32.8352,Lvov,UKR,Ukraine,50.63N,24.08E
4433736,12,01,1906,23.7902,33.8882,Lvov,UKR,Ukraine,50.63N,24.08E
4433737,01,01,1907,20.0282,32.7488,Lvov,UKR,Ukraine,50.63N,24.08E
4433738,02,01,1907,20.5358,32.8136,Lvov,UKR,Ukraine,50.63N,24.08E
4433739,03,01,1907,28.769,32.7794,Lvov,UKR,Ukraine,50.63N,24.08E
4433740,04,01,1907,40.4348,33.8342,Lvov,UKR,Ukraine,50.63N,24.08E
4433741,05,01,1907,59.6822,33.179,Lvov,UKR,Ukraine,50.63N,24.08E
4433742,06,01,1907,60.8882,33.0476,Lvov,UKR,Ukraine,50.63N,24.08E
4433743,07,01,1907,62.3534,32.3996,Lvov,UKR,Ukraine,50.63N,24.08E
4433744,08,01,1907,61.2194,32.3744,Lvov,UKR,Ukraine,50.63N,24.08E
4433745,09,01,1907,54.7286,33.008,Lvov,UKR,Ukraine,50.63N,24.08E
4433746,10,01,1907,52.8944,32.6642,Lvov,UKR,Ukraine,50.63N,24.08E
4433747,11,01,1907,32.1944,32.6984,Lvov,UKR,Ukraine,50.63N,24.08E
4433748,12,01,1907,25.7162,32.7614,Lvov,UKR,Ukraine,50.63N,24.08E
4433749,01,01,1908,24.4274,33.2888,Lvov,UKR,Ukraine,50.63N,24.08E
4433750,02,01,1908,28.6304,33.1232,Lvov,UKR,Ukraine,50.63N,24.08E
4433751,03,01,1908,33.7604,33.476,Lvov,UKR,Ukraine,50.63N,24.08E
4672984,01,01,1999,52.205,32.5724,Marseille,FRA,France,42.59N,6.55E
4672985,02,01,1999,49.703,32.8244,Marseille,FRA,France,42.59N,6.55E
4672986,03,01,1999,54.2318,32.4392,Marseille,FRA,France,42.59N,6.55E
4672987,04,01,1999,55.9868,32.558,Marseille,FRA,France,42.59N,6.55E
4672988,05,01,1999,64.3064,32.6048,Marseille,FRA,France,42.59N,6.55E
4672989,06,01,1999,68.7668,32.4734,Marseille,FRA,France,42.59N,6.55E
4672990,07,01,1999,74.0264,32.4428,Marseille,FRA,France,42.59N,6.55E
4672991,08,01,1999,75.6356,32.5364,Marseille,FRA,France,42.59N,6.55E
4672992,09,01,1999,71.9942,32.45,Marseille,FRA,France,42.59N,6.55E
4672993,10,01,1999,64.8374,32.2844,Marseille,FRA,France,42.59N,6.55E
4672994,11,01,1999,55.0418,32.387,Marseille,FRA,France,42.59N,6.55E
4672995,12,01,1999,51.4832,32.4986,Marseille,FRA,France,42.59N,6.55E
4672996,01,01,2000,49.6616,32.6282,Marseille,FRA,France,42.59N,6.55E
4672997,02,01,2000,52.889,32.4734,Marseille,FRA,France,42.59N,6.55E
4672998,03,01,2000,53.582,32.5454,Marseille,FRA,France,42.59N,6.55E
4672999,04,01,2000,56.1524,32.4626,Marseille,FRA,France,42.59N,6.55E
4673000,05,01,2000,65.1884,32.5526,Marseille,FRA,France,42.59N,6.55E
4673001,06,01,2000,69.6146,32.5454,Marseille,FRA,France,42.59N,6.55E
4673002,07,01,2000,70.8926,32.3366,Marseille,FRA,France,42.59N,6.55E
4673003,08,01,2000,74.6474,32.5976,Marseille,FRA,France,42.59N,6.55E
4673004,09,01,2000,70.16,32.3654,Marseille,FRA,France,42.59N,6.55E
4673005,10,01,2000,63.8474,32.3888,Marseille,FRA,France,42.59N,6.55E
4673006,11,01,2000,57.4718,32.2808,Marseille,FRA,France,42.59N,6.55E
4673007,12,01,2000,56.2514,32.3744,Marseille,FRA,France,42.59N,6.55E
4673008,01,01,2001,53.357,32.5526,Marseille,FRA,France,42.59N,6.55E
4673009,02,01,2001,51.9314,32.495,Marseille,FRA,France,42.59N,6.55E
4673010,03,01,2001,57.4574,32.4824,Marseille,FRA,France,42.59N,6.55E
4673011,04,01,2001,55.9652,32.3978,Marseille,FRA,France,42.59N,6.55E
4673012,05,01,2001,63.7142,32.3726,Marseille,FRA,France,42.59N,6.55E
4673013,06,01,2001,68.9522,32.5634,Marseille,FRA,France,42.59N,6.55E
4673014,07,01,2001,73.247,32.3762,Marseille,FRA,France,42.59N,6.55E
4673015,08,01,2001,75.839,32.5022,Marseille,FRA,France,42.59N,6.55E
4673016,09,01,2001,67.3016,32.5922,Marseille,FRA,France,42.59N,6.55E
4673017,10,01,2001,67.7354,32.2898,Marseille,FRA,France,42.59N,6.55E
4673018,11,01,2001,56.9516,32.5364,Marseille,FRA,France,42.59N,6.55E
4673019,12,01,2001,49.8074,32.4176,Marseille,FRA,France,42.59N,6.55E
4673020,01,01,2002,50.2088,32.5868,Marseille,FRA,France,42.59N,6.55E
4673021,02,01,2002,53.4416,32.5526,Marseille,FRA,France,42.59N,6.55E
5415607,05,01,1992,55.6556,32.6066,Odesa,UKR,Ukraine,45.81N,31.15E
5415608,06,01,1992,64.6682,32.6768,Odesa,UKR,Ukraine,45.81N,31.15E
5415609,07,01,1992,69.3896,32.3528,Odesa,UKR,Ukraine,45.81N,31.15E
5415610,08,01,1992,75.5906,32.6588,Odesa,UKR,Ukraine,45.81N,31.15E
5415611,09,01,1992,61.5002,32.3672,Odesa,UKR,Ukraine,45.81N,31.15E
5415612,10,01,1992,54.968,32.2664,Odesa,UKR,Ukraine,45.81N,31.15E
5415613,11,01,1992,46.6988,32.4986,Odesa,UKR,Ukraine,45.81N,31.15E
5415614,12,01,1992,35.1968,32.7056,Odesa,UKR,Ukraine,45.81N,31.15E
5415615,01,01,1993,35.8952,32.5184,Odesa,UKR,Ukraine,45.81N,31.15E
5415616,02,01,1993,32.8658,32.5094,Odesa,UKR,Ukraine,45.81N,31.15E
5415617,03,01,1993,37.0292,32.6966,Odesa,UKR,Ukraine,45.81N,31.15E
5415618,04,01,1993,46.4666,32.2898,Odesa,UKR,Ukraine,45.81N,31.15E
5415619,05,01,1993,58.0208,32.531,Odesa,UKR,Ukraine,45.81N,31.15E
5415620,06,01,1993,64.085,32.405,Odesa,UKR,Ukraine,45.81N,31.15E
5415621,07,01,1993,67.199,32.6606,Odesa,UKR,Ukraine,45.81N,31.15E
5415622,08,01,1993,69.8432,32.6696,Odesa,UKR,Ukraine,45.81N,31.15E
5415623,09,01,1993,61.1258,32.2754,Odesa,UKR,Ukraine,45.81N,31.15E
5415624,10,01,1993,55.3388,32.5886,Odesa,UKR,Ukraine,45.81N,31.15E
5415625,11,01,1993,34.8296,32.6714,Odesa,UKR,Ukraine,45.81N,31.15E
5415626,12,01,1993,42.089,32.3438,Odesa,UKR,Ukraine,45.81N,31.15E
5415627,01,01,1994,40.8704,32.657,Odesa,UKR,Ukraine,45.81N,31.15E
5415628,02,01,1994,31.9604,32.8352,Odesa,UKR,Ukraine,45.81N,31.15E
5415629,03,01,1994,40.4924,32.3762,Odesa,UKR,Ukraine,45.81N,31.15E
5415630,04,01,1994,52.1204,32.4446,Odesa,UKR,Ukraine,45.81N,31.15E
5415631,05,01,1994,58.3646,32.6948,Odesa,UKR,Ukraine,45.81N,31.15E
5415632,06,01,1994,63.5756,32.6012,Odesa,UKR,Ukraine,45.81N,31.15E
5415633,07,01,1994,72.815,32.6678,Odesa,UKR,Ukraine,45.81N,31.15E
5415634,08,01,1994,71.8718,32.4158,Odesa,UKR,Ukraine,45.81N,31.15E
5415635,09,01,1994,70.5326,32.63,Odesa,UKR,Ukraine,45.81N,31.15E
5415636,10,01,1994,56.4602,32.4896,Odesa,UKR,Ukraine,45.81N,31.15E
5415637,11,01,1994,43.9088,32.549,Odesa,UKR,Ukraine,45.81N,31.15E
5415638,12,01,1994,37.5998,32.7578,Odesa,UKR,Ukraine,45.81N,31.15E
5415639,01,01,1995,34.3958,32.7128,Odesa,UKR,Ukraine,45.81N,31.15E
5415640,02,01,1995,41.5544,32.3204,Odesa,UKR,Ukraine,45.81N,31.15E
5415641,03,01,1995,41.7398,32.3258,Odesa,UKR,Ukraine,45.81N,31.15E
5415642,04,01,1995,48.3116,32.7722,Odesa,UKR,Ukraine,45.81N,31.15E
5699290,09,01,1744,57.875,35.0258,Paris,FRA,France,49.03N,2.45E
5699291,10,01,1744,50.8766,34.9826,Paris,FRA,France,49.03N,2.45E
5699292,11,01,1744,44.1716,34.8368,Paris,FRA,France,49.03N,2.45E
5699293,12,01,1744,38.5196,35.3804,Paris,FRA,France,49.03N,2.45E
5699294,01,01,1745,35.519,35.492,Paris,FRA,France,49.03N,2.45E
5699295,02,01,1745,36.5288,35.1716,Paris,FRA,France,49.03N,2.45E
5699296,03,01,1745,41.3816,34.5812,Paris,FRA,France,49.03N,2.45E
5699297,04,01,1745,48.6194,34.5848,Paris,FRA,France,49.03N,2.45E
5699387,10,01,1752,50.4338,34.781,Paris,FRA,France,49.03N,2.45E
5699388,11,01,1752,45.473,34.7018,Paris,FRA,France,49.03N,2.45E
5699389,12,01,1752,40.928,35.0924,Paris,FRA,France,49.03N,2.45E
5699390,01,01,1753,31.9046,46.1282,Paris,FRA,France,49.03N,2.45E
5699391,02,01,1753,38.7698,38.1902,Paris,FRA,France,49.03N,2.45E
5699392,03,01,1753,46.3352,38.6996,Paris,FRA,France,49.03N,2.45E
5699393,04,01,1753,48.7526,45.7016,Paris,FRA,France,49.03N,2.45E
5699394,05,01,1753,56.5736,35.5586,Paris,FRA,France,49.03N,2.45E
7178147,11,01,1805,36.0356,36.8618,Stockholm,SWE,Sweden,58.66N,18.46E
7178148,12,01,1805,32.747,36.6548,Stockholm,SWE,Sweden,58.66N,18.46E
7178149,01,01,1806,32.7236,36.8402,Stockholm,SWE,Sweden,58.66N,18.46E
7178150,02,01,1806,27.2984,40.3718,Stockholm,SWE,Sweden,58.66N,18.46E
7178151,03,01,1806,27.3596,38.2982,Stockholm,SWE,Sweden,58.66N,18.46E
7178152,04,01,1806,32.7884,40.5896,Stockholm,SWE,Sweden,58.66N,18.46E
7178153,05,01,1806,45.8042,36.2138,Stockholm,SWE,Sweden,58.66N,18.46E
7178154,06,01,1806,49.6472,36.1472,Stockholm,SWE,Sweden,58.66N,18.46E
7178155,07,01,1806,57.5474,35.3408,Stockholm,SWE,Sweden,58.66N,18.46E
7178156,08,01,1806,62.3408,36.5684,Stockholm,SWE,Sweden,58.66N,18.46E
7178157,09,01,1806,58.3322,37.9634,Stockholm,SWE,Sweden,58.66N,18.46E
7178158,10,01,1806,45.365,33.7046,Stockholm,SWE,Sweden,58.66N,18.46E
7178159,11,01,1806,39.6698,34.3526,Stockholm,SWE,Sweden,58.66N,18.46E
7178160,12,01,1806,38.3702,38.3504,Stockholm,SWE,Sweden,58.66N,18.46E
7178161,01,01,1807,29.471,37.6736,Stockholm,SWE,Sweden,58.66N,18.46E
7178162,02,01,1807,31.6976,42.3986,Stockholm,SWE,Sweden,58.66N,18.46E
7178163,03,01,1807,28.3712,41.423,Stockholm,SWE,Sweden,58.66N,18.46E
7178164,04,01,1807,32.5076,37.3694,Stockholm,SWE,Sweden,58.66N,18.46E
7178165,05,01,1807,43.6172,35.4362,Stockholm,SWE,Sweden,58.66N,18.46E
7178166,06,01,1807,53.5082,34.5074,Stockholm,SWE,Sweden,58.66N,18.46E
7178167,07,01,1807,62.573,39.6014,Stockholm,SWE,Sweden,58.66N,18.46E
7178168,08,01,1807,66.3008,37.0472,Stockholm,SWE,Sweden,58.66N,18.46E
7178169,09,01,1807,51.3932,34.3868,Stockholm,SWE,Sweden,58.66N,18.46E
7178170,10,01,1807,43.7504,35.3138,Stockholm,SWE,Sweden,58.66N,18.46E
7178171,11,01,1807,39.4178,37.8986,Stockholm,SWE,Sweden,58.66N,18.46E
7178172,12,01,1807,35.5406,36.734,Stockholm,SWE,Sweden,58.66N,18.46E
