,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7276,4071,Andr Lus dos Santos Ferreira,M,24.0,180.0,82.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
7329,4101,Andria Suntaque,F,26.0,175.0,65.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
7330,4101,Andria Suntaque,F,30.0,175.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
12223,6643,"Antnio Carlos ""Badalhoca"" Gueiros Ribeiro",M,26.0,193.0,84.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
14312,7716,Brbara Seixas de Freitas,F,29.0,178.0,67.0,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
14313,7717,Brbara Micheline do Monte Barbosa,F,20.0,171.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
15904,8573,Joo Santos Batista,M,27.0,179.0,68.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
17002,9107,"Jos Roberto ""Bebeto"" Gama de Oliveira",M,24.0,177.0,69.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
17003,9107,"Jos Roberto ""Bebeto"" Gama de Oliveira",M,32.0,177.0,69.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
17468,9307,gatha Bednarczuk Rippel,F,33.0,182.0,70.0,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
20234,10672,Bernard Rajzman,M,27.0,187.0,89.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
20303,10711,"Bernardo ""Bernardinho"" Rocha de Rezende",M,25.0,185.0,80.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
22109,11648,"Ubiratan ""Bira"" Pereira Maciel",M,20.0,196.0,96.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
25796,13462,Gustavo Frana Borges,M,23.0,203.0,98.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,Silver
25807,13466,Maurcio Borges Almeida Silva,M,27.0,199.0,99.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
28160,14601,"Maria Anglica ""Branca"" Gonalves da Silva",F,30.0,170.0,68.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
28902,14958,Breno Vinicius Rodrigues Borges,M,18.0,187.0,88.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
30652,15791,"Bruno ""Bruninho"" Mossa de Rezende",M,22.0,190.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
30653,15791,"Bruno ""Bruninho"" Mossa de Rezende",M,26.0,190.0,76.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
30654,15791,"Bruno ""Bruninho"" Mossa de Rezende",M,30.0,190.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
35368,18212,"Hamilton ""Careca"" de Souza",M,19.0,170.0,67.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
35447,18253,"Antnio Carlos ""Carlo"" Aguilar Gouveia",M,27.0,196.0,93.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
35850,18420,"Carolina ""Carol"" Demartini de Albuquerque",F,31.0,182.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
40195,20669,"Francisco Carlos ""Chico"" Martins Vidal",M,21.0,185.0,85.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
41795,21544,Csar Augusto Cielo Filho,M,21.0,195.0,80.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Bronze
41940,21615,Cntia Silva dos Santos,F,21.0,195.0,83.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
41941,21615,Cntia Silva dos Santos,F,25.0,195.0,83.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
42469,21909,Cludia Maria Pastor,F,25.0,192.0,84.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
42470,21910,"Cludia Maria ""Cludinha"" das Neves",F,25.0,170.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
43885,22621,Flvio da Conceio,M,22.0,177.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
44709,23039,Burkhard Cordes,M,29.0,177.0,75.0,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
46177,23834,Cristiane Rozeira de Souza Silva,F,19.0,176.0,69.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
46178,23834,Cristiane Rozeira de Souza Silva,F,23.0,176.0,69.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
46557,24026,Andr Alves da Cruz,M,19.0,172.0,70.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
46597,24049,Mlton Cruz,M,26.0,178.0,67.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
47881,24678,Adhemar Ferreira da Silva,M,24.0,178.0,69.0,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
47905,24687,Arnaldo de Oliveira da Silva,M,32.0,174.0,71.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
47909,24689,Claudinei Quirino da Silva,M,29.0,186.0,88.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
47984,24730,Rafael Carlos da Silva,M,25.0,203.0,160.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,Bronze
47985,24730,Rafael Carlos da Silva,M,29.0,203.0,160.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Bronze
47989,24731,Rbson Caetano da Silva,M,24.0,187.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,Bronze
47994,24731,Rbson Caetano da Silva,M,31.0,187.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
48703,25104,Leandro Damio da Silva dos Santos,M,23.0,187.0,84.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
48910,25208,Daniela Alves Lima,F,20.0,171.0,66.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
48911,25208,Daniela Alves Lima,F,24.0,171.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
49009,25255,Danilo Luiz da Silva,M,21.0,184.0,73.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
49143,25307,Dante Guimares Santos do Amaral,M,23.0,201.0,86.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
49144,25307,Dante Guimares Santos do Amaral,M,27.0,201.0,86.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
49145,25307,Dante Guimares Santos do Amaral,M,31.0,201.0,86.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
49605,25555,"David ""Davi"" Cortez Silva",M,20.0,178.0,71.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
51302,26375,Vicente Lenlson de Lima,M,23.0,166.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
51306,26375,Vicente Lenlson de Lima,M,31.0,166.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
55339,28380,"Nelson de Jess ""Dida"" Silva",M,22.0,195.0,85.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
55413,28416,Diego Ribas da Cunha,M,23.0,173.0,73.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
56689,29041,"Alvaro Affonso ""Doda"" de Miranda Neto",M,23.0,186.0,86.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
56691,29041,"Alvaro Affonso ""Doda"" de Miranda Neto",M,27.0,186.0,86.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
57108,29255,"Domingos ""Domingos Maracan"" Lampariello Neto",M,23.0,198.0,92.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
57985,29673,Douglas Chiarotti,M,21.0,200.0,93.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
59858,30647,"Carlos Caetano ""Dunga"" Bledorn Verri",M,20.0,174.0,68.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
61260,31381,der Francis Carbonera,M,32.0,205.0,107.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
61363,31426,Edmar Bernardes dos Santos,M,28.0,175.0,72.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
61416,31456,"Edson ""Edson Bispo"" Bispo dos Santos",M,25.0,195.0,86.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
61417,31456,"Edson ""Edson Bispo"" Bispo dos Santos",M,29.0,195.0,86.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
62829,32207,Elaine Estrela Moura,F,21.0,167.0,61.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
63345,32468,Emanuel Fernando Scheffler Rego,M,31.0,190.0,80.0,Brazil-1,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
63347,32468,Emanuel Fernando Scheffler Rego,M,39.0,190.0,80.0,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
64266,32920,rika Cristiano dos Santos,F,20.0,172.0,55.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
64675,33095,"Srgio ""Escadinha"" Dutra dos Santos",M,28.0,184.0,78.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
64676,33095,"Srgio ""Escadinha"" Dutra dos Santos",M,32.0,184.0,78.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
64677,33095,"Srgio ""Escadinha"" Dutra dos Santos",M,36.0,184.0,78.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
64678,33095,"Srgio ""Escadinha"" Dutra dos Santos",M,40.0,184.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
65046,33293,Ester Aperecida dos Santos,F,25.0,164.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
65709,33630,"Fabiana ""Fabi"" Alvim de Oliveira",F,28.0,169.0,59.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
65710,33630,"Fabiana ""Fabi"" Alvim de Oliveira",F,32.0,169.0,59.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
65723,33637,Fabiana da Silva Simes,F,19.0,161.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
65727,33638,Fabiana Marcelino Claudino,F,23.0,193.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
65728,33638,Fabiana Marcelino Claudino,F,27.0,193.0,76.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
65738,33646,Fbio Luiz de Jesus Magalhes,M,29.0,204.0,101.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
66172,33850,Yamaguchi Falco Florentino,M,24.0,181.0,77.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,Bronze
67590,34546,Felipe Anderson Perieira Gomes,M,23.0,178.0,66.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
68006,34735,Fernanda Porto Venturini,F,25.0,180.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
68010,34737,"Fernando ""Fernando"" Roscio de vila",M,29.0,199.0,92.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
68341,34900,"Fernanda ""Fernandinha"" Ferreira",F,32.0,172.0,66.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
68941,35158,Peter Ficker,M,25.0,190.0,86.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
69414,35372,"Ericlia ""Fil"" Bodziak",F,26.0,192.0,84.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
70516,35894,Esquiva Falco Florentino,M,22.0,171.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Silver
70731,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,26.0,173.0,63.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
70732,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,30.0,173.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
70734,36017,"Hlia ""Fofo"" Rogrio de Souza Pinto",F,38.0,173.0,63.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
71247,36289,"Miraildes ""Formiga"" Maciel Mota",F,26.0,162.0,53.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
71248,36289,"Miraildes ""Formiga"" Maciel Mota",F,30.0,162.0,53.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
72041,36651,Francielle Manoel Alberto,F,18.0,161.0,61.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
72913,37055,Clinio Freitas,M,24.0,182.0,70.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Multihull,Bronze
73331,37266,"Friedrich Wilhelm ""Fritz"" Braun",M,23.0,193.0,92.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
74439,37807,Gabriel Barbosa Almeida,M,19.0,178.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
74440,37808,Gabriel Fernando de Jesus,M,19.0,175.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
75259,38191,Mauro Geraldo Galvo,M,22.0,180.0,74.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
75584,38374,"Paulo Henrique ""Ganso"" Chagas de Lima",M,22.0,184.0,78.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
75752,38457,Fernanda Garay Rodrigues,F,26.0,181.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
78078,39645,Geovani Faria da Silva,M,24.0,169.0,69.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
79027,40131,"Gilberto Amauri ""Giba"" de Godoy Filho",M,27.0,192.0,85.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
79028,40131,"Gilberto Amauri ""Giba"" de Godoy Filho",M,31.0,192.0,85.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
79029,40131,"Gilberto Amauri ""Giba"" de Godoy Filho",M,35.0,192.0,85.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
79525,40389,Gilmar Lus Rinaldi,M,25.0,185.0,82.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
79741,40494,Giovane Farinazzo Gvio,M,21.0,196.0,90.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
79744,40494,Giovane Farinazzo Gvio,M,33.0,196.0,90.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
83120,42226,Lars Schmidt Grael,M,24.0,185.0,80.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Multihull,Bronze
83122,42226,Lars Schmidt Grael,M,32.0,185.0,80.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,Bronze
83125,42229,Torben Schmidt Grael,M,24.0,185.0,88.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
83126,42229,Torben Schmidt Grael,M,28.0,185.0,88.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Keelboat,Bronze
83128,42229,Torben Schmidt Grael,M,35.0,185.0,88.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Gold
83129,42229,Torben Schmidt Grael,M,40.0,185.0,88.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Bronze
83130,42229,Torben Schmidt Grael,M,44.0,185.0,88.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Keelboat,Gold
83719,42559,Grazielle Pinheiro Guimares Nascimento,F,23.0,162.0,54.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
85929,43570,Evandro Motta Guerra,M,34.0,207.0,106.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
86122,43669,Ronaldo Guiaro,M,22.0,186.0,77.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
86228,43708,Leandro Marques Guilheiro,M,21.0,176.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,Bronze
86229,43708,Leandro Marques Guilheiro,M,24.0,176.0,81.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Lightweight,Bronze
86980,44116,Gustavo Endres,M,28.0,203.0,98.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
86981,44116,Gustavo Endres,M,32.0,203.0,98.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
93605,47390,Helen Cristina Santos Luz,F,27.0,175.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
93701,47434,Andr Heller,M,28.0,199.0,93.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
93702,47434,Andr Heller,M,32.0,199.0,93.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
95005,48108,Anderson Hernanes de Carvalho Andrade Lima,M,23.0,180.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
96064,48638,Hilma Aparecida Caldeira,F,24.0,182.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
98339,49769,Carlos Eduardo Honorato,M,25.0,175.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,Silver
98869,50041,Hortncia Maria de Ftima Marcari Oliva,F,36.0,174.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
100754,50948,"Givanildo ""Hulk"" Vieira de Souza",M,26.0,180.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
102025,51607,Ana Ida Margarita  Alvarez Vieira,F,31.0,177.0,60.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
102599,51904,"Ilson Pereira ""Ilsinho"" Dias Jnior",M,22.0,170.0,70.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
105946,53594,Janelson dos Santos Carvalho,M,23.0,195.0,85.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
105956,53600,Janeth dos Santos Arcain,F,27.0,182.0,67.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
105957,53600,Janeth dos Santos Arcain,F,31.0,182.0,67.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
106112,53677,Janina Dia Chagas da Conceio,F,27.0,192.0,82.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
106506,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,24.0,186.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
106507,53867,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",F,28.0,186.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
106885,54032,Jatyr Eduardo Schall,M,21.0,186.0,85.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
106886,54032,Jatyr Eduardo Schall,M,25.0,186.0,85.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
107004,54085,Carlos Alberto Borges Jayme,M,20.0,190.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
108640,54942,"Joo ""J"" Alves de Assis Silva",M,21.0,189.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
108798,55025,"Srgio Lus ""Joo Paulo"" Donizetti",M,24.0,170.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
108953,55088,Andr Bier Johannpeter,M,33.0,178.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
108955,55088,Andr Bier Johannpeter,M,37.0,178.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
110576,55913,Jorge Edson Souza de Brito,M,25.0,192.0,90.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
110595,55923,"Jorge Jos ""Jorginho"" de Amorim Campos",M,24.0,174.0,68.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
111006,56163,Juan Guilherme Nunes Jesus,M,21.0,185.0,83.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
111171,56248,Juliana Ribeiro Cabral,F,22.0,169.0,60.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
