car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
33,1,honda civic,gas,std,two,hatchback,93.7,150.0,64.0,52.6,1837,four,79,2.91,3.07,10.1,60,5500,38,42,5399.0
34,1,honda accord cvcc,gas,std,two,hatchback,93.7,150.0,64.0,52.6,1940,four,92,2.91,3.41,9.2,76,6000,30,34,6529.0
35,1,honda civic cvcc,gas,std,two,hatchback,93.7,150.0,64.0,52.6,1956,four,92,2.91,3.41,9.2,76,6000,30,34,7129.0
36,0,honda accord lx,gas,std,four,sedan,96.5,163.4,64.0,54.5,2010,four,92,2.91,3.41,9.2,76,6000,30,34,7295.0
37,0,honda civic 1500 gl,gas,std,four,wagon,96.5,157.1,63.9,58.3,2024,four,92,2.92,3.41,9.2,76,6000,30,34,7295.0
38,0,honda accord,gas,std,two,hatchback,96.5,167.5,65.2,53.3,2236,four,110,3.15,3.58,9.0,86,5800,27,33,7895.0
39,0,honda civic 1300,gas,std,two,hatchback,96.5,167.5,65.2,53.3,2289,four,110,3.15,3.58,9.0,86,5800,27,33,9095.0
40,0,honda prelude,gas,std,four,sedan,96.5,175.4,65.2,54.1,2304,four,110,3.15,3.58,9.0,86,5800,27,33,8845.0
41,0,honda accord,gas,std,four,sedan,96.5,175.4,62.5,54.1,2372,four,110,3.15,3.58,9.0,86,5800,27,33,10295.0
42,0,honda civic,gas,std,four,sedan,96.5,175.4,65.2,54.1,2465,four,110,3.15,3.58,9.0,101,5800,24,28,12945.0
43,1,honda civic (auto),gas,std,two,sedan,96.5,169.1,66.0,51.0,2293,four,110,3.15,3.58,9.1,100,5500,25,31,10345.0
44,0,isuzu MU-X,gas,std,four,sedan,94.3,170.7,61.8,53.5,2337,four,111,3.31,3.23,8.5,78,4800,24,29,6785.0
45,1,isuzu D-Max ,gas,std,two,sedan,94.5,155.9,63.6,52.0,1874,four,90,3.03,3.11,9.6,70,5400,38,43,8916.5
46,0,isuzu D-Max V-Cross,gas,std,four,sedan,94.5,155.9,63.6,52.0,1909,four,90,3.03,3.11,9.6,70,5400,38,43,8916.5
47,2,isuzu D-Max ,gas,std,two,hatchback,96.0,172.6,65.2,51.4,2734,four,119,3.43,3.23,9.2,90,5000,24,29,11048.0
48,0,jaguar xj,gas,std,four,sedan,113.0,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,32250.0
49,0,jaguar xf,gas,std,four,sedan,113.0,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,35550.0
50,0,jaguar xk,gas,std,two,sedan,102.0,191.7,70.6,47.8,3950,twelve,326,3.54,2.76,11.5,262,5000,13,17,36000.0
51,1,maxda rx3,gas,std,two,hatchback,93.1,159.1,64.2,54.1,1890,four,91,3.03,3.15,9.0,68,5000,30,31,5195.0
52,1,maxda glc deluxe,gas,std,two,hatchback,93.1,159.1,64.2,54.1,1900,four,91,3.03,3.15,9.0,68,5000,31,38,6095.0
53,1,mazda rx2 coupe,gas,std,two,hatchback,93.1,159.1,64.2,54.1,1905,four,91,3.03,3.15,9.0,68,5000,31,38,6795.0
54,1,mazda rx-4,gas,std,four,sedan,93.1,166.8,64.2,54.1,1945,four,91,3.03,3.15,9.0,68,5000,31,38,6695.0
55,1,mazda glc deluxe,gas,std,four,sedan,93.1,166.8,64.2,54.1,1950,four,91,3.08,3.15,9.0,68,5000,31,38,7395.0
56,3,mazda 626,gas,std,two,hatchback,95.3,169.0,65.7,49.6,2380,two,70,3.33,3.255,9.4,101,6000,17,23,10945.0
57,3,mazda glc,gas,std,two,hatchback,95.3,169.0,65.7,49.6,2380,two,70,3.33,3.255,9.4,101,6000,17,23,11845.0
58,3,mazda rx-7 gs,gas,std,two,hatchback,95.3,169.0,65.7,49.6,2385,two,70,3.33,3.255,9.4,101,6000,17,23,13645.0
59,3,mazda glc 4,gas,std,two,hatchback,95.3,169.0,65.7,49.6,2500,two,80,3.33,3.255,9.4,135,6000,16,23,15645.0
60,1,mazda 626,gas,std,two,hatchback,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,8845.0
61,0,mazda glc custom l,gas,std,four,sedan,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,8495.0
62,1,mazda glc custom,gas,std,two,hatchback,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,10595.0
63,0,mazda rx-4,gas,std,four,sedan,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,10245.0
64,0,mazda glc deluxe,diesel,std,four,sedan,98.8,177.8,66.5,55.5,2443,four,122,3.39,3.39,22.7,64,4650,36,42,10795.0
65,0,mazda 626,gas,std,four,hatchback,98.8,177.8,66.5,55.5,2425,four,122,3.39,3.39,8.6,84,4800,26,32,11245.0
66,0,mazda glc,gas,std,four,sedan,104.9,175.0,66.1,54.4,2670,four,140,3.76,3.16,8.0,120,5000,19,27,18280.0
67,0,mazda rx-7 gs,diesel,std,four,sedan,104.9,175.0,66.1,54.4,2700,four,134,3.43,3.64,22.0,72,4200,31,39,18344.0
68,-1,buick electra 225 custom,diesel,turbo,four,sedan,110.0,190.9,70.3,56.5,3515,five,183,3.58,3.64,21.5,123,4350,22,25,25552.0
69,-1,buick century luxus (sw),diesel,turbo,four,wagon,110.0,190.9,70.3,58.7,3750,five,183,3.58,3.64,21.5,123,4350,22,25,28248.0
70,0,buick century,diesel,turbo,two,hardtop,106.7,187.5,70.3,54.9,3495,five,183,3.58,3.64,21.5,123,4350,22,25,28176.0
71,-1,buick skyhawk,diesel,turbo,four,sedan,115.6,202.6,71.7,56.3,3770,five,183,3.58,3.64,21.5,123,4350,22,25,31600.0
72,-1,buick opel isuzu deluxe,gas,std,four,sedan,115.6,202.6,71.7,56.5,3740,eight,234,3.46,3.1,8.3,155,4750,16,18,34184.0
73,3,buick skylark,gas,std,two,convertible,96.6,180.3,70.5,50.8,3685,eight,234,3.46,3.1,8.3,155,4750,16,18,35056.0
74,0,buick century special,gas,std,four,sedan,120.9,208.1,71.7,56.7,3900,eight,308,3.8,3.35,8.0,184,4500,14,16,40960.0
75,1,buick regal sport coupe (turbo),gas,std,two,hardtop,112.0,199.2,72.0,55.4,3715,eight,304,3.8,3.35,8.0,184,4500,14,16,45400.0
76,1,mercury cougar,gas,turbo,two,hatchback,102.7,178.4,68.0,54.8,2910,four,140,3.78,3.12,8.0,175,5000,19,24,16503.0
77,2,mitsubishi mirage,gas,std,two,hatchback,93.7,157.3,64.4,50.8,1918,four,92,2.97,3.23,9.4,68,5500,37,41,5389.0
78,2,mitsubishi lancer,gas,std,two,hatchback,93.7,157.3,64.4,50.8,1944,four,92,2.97,3.23,9.4,68,5500,31,38,6189.0
79,2,mitsubishi outlander,gas,std,two,hatchback,93.7,157.3,64.4,50.8,2004,four,92,2.97,3.23,9.4,68,5500,31,38,6669.0
80,1,mitsubishi g4,gas,turbo,two,hatchback,93.0,157.3,63.8,50.8,2145,four,98,3.03,3.39,7.6,102,5500,24,30,7689.0
81,3,mitsubishi mirage g4,gas,turbo,two,hatchback,96.3,173.0,65.4,49.4,2370,four,110,3.17,3.46,7.5,116,5500,23,30,9959.0
82,3,mitsubishi g4,gas,std,two,hatchback,96.3,173.0,65.4,49.4,2328,four,122,3.35,3.46,8.5,88,5000,25,32,8499.0
83,3,mitsubishi outlander,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,2833,four,156,3.58,3.86,7.0,145,5000,19,24,12629.0
84,3,mitsubishi g4,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,2921,four,156,3.59,3.86,7.0,145,5000,19,24,14869.0
85,3,mitsubishi mirage g4,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,2926,four,156,3.59,3.86,7.0,145,5000,19,24,14489.0
86,1,mitsubishi montero,gas,std,four,sedan,96.3,172.4,65.4,51.6,2365,four,122,3.35,3.46,8.5,88,5000,25,32,6989.0
87,1,mitsubishi pajero,gas,std,four,sedan,96.3,172.4,65.4,51.6,2405,four,122,3.35,3.46,8.5,88,5000,25,32,8189.0
88,1,mitsubishi outlander,gas,turbo,four,sedan,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,9279.0
89,-1,mitsubishi mirage g4,gas,std,four,sedan,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,9279.0
90,1,Nissan versa,gas,std,two,sedan,94.5,165.3,63.8,54.5,1889,four,97,3.15,3.29,9.4,69,5200,31,37,5499.0
91,1,nissan gt-r,diesel,std,two,sedan,94.5,165.3,63.8,54.5,2017,four,103,2.99,3.47,21.9,55,4800,45,50,7099.0
92,1,nissan rogue,gas,std,two,sedan,94.5,165.3,63.8,54.5,1918,four,97,3.15,3.29,9.4,69,5200,31,37,6649.0
93,1,nissan latio,gas,std,four,sedan,94.5,165.3,63.8,54.5,1938,four,97,3.15,3.29,9.4,69,5200,31,37,6849.0
94,1,nissan titan,gas,std,four,wagon,94.5,170.2,63.8,53.5,2024,four,97,3.15,3.29,9.4,69,5200,31,37,7349.0
95,1,nissan leaf,gas,std,two,sedan,94.5,165.3,63.8,54.5,1951,four,97,3.15,3.29,9.4,69,5200,31,37,7299.0
96,1,nissan juke,gas,std,two,hatchback,94.5,165.6,63.8,53.3,2028,four,97,3.15,3.29,9.4,69,5200,31,37,7799.0
97,1,nissan latio,gas,std,four,sedan,94.5,165.3,63.8,54.5,1971,four,97,3.15,3.29,9.4,69,5200,31,37,7499.0
98,1,nissan note,gas,std,four,wagon,94.5,170.2,63.8,53.5,2037,four,97,3.15,3.29,9.4,69,5200,31,37,7999.0
99,2,nissan clipper,gas,std,two,hardtop,95.1,162.4,63.8,53.3,2008,four,97,3.15,3.29,9.4,69,5200,31,37,8249.0
100,0,nissan rogue,gas,std,four,hatchback,97.2,173.4,65.2,54.7,2324,four,120,3.33,3.47,8.5,97,5200,27,34,8949.0
101,0,nissan nv200,gas,std,four,sedan,97.2,173.4,65.2,54.7,2302,four,120,3.33,3.47,8.5,97,5200,27,34,9549.0
102,0,nissan dayz,gas,std,four,sedan,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9.0,152,5200,17,22,13499.0
103,0,nissan fuga,gas,std,four,wagon,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9.0,152,5200,17,22,14399.0
104,0,nissan otti,gas,std,four,sedan,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9.0,152,5200,19,25,13499.0
105,3,nissan teana,gas,std,two,hatchback,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9.0,160,5200,19,25,17199.0
106,3,nissan kicks,gas,turbo,two,hatchback,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,17,23,19699.0
107,1,nissan clipper,gas,std,two,hatchback,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9.0,160,5200,19,25,18399.0
108,0,peugeot 504,gas,std,four,sedan,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,19,24,11900.0
109,0,peugeot 304,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21.0,95,4150,28,33,13200.0
110,0,peugeot 504 (sw),gas,std,four,wagon,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,19,24,12440.0
111,0,peugeot 504,diesel,turbo,four,wagon,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21.0,95,4150,25,25,13860.0
112,0,peugeot 504,gas,std,four,sedan,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,19,24,15580.0
113,0,peugeot 604sl,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21.0,95,4150,28,33,16900.0
114,0,peugeot 504,gas,std,four,wagon,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,19,24,16695.0
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21.0,95,4150,25,25,17075.0
116,0,peugeot 504,gas,std,four,sedan,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,19,24,16630.0
117,0,peugeot 504,diesel,turbo,four,sedan,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21.0,95,4150,28,33,17950.0
118,0,peugeot 604sl,gas,turbo,four,sedan,108.0,186.7,68.3,56.0,3130,four,134,3.61,3.21,7.0,142,5600,18,24,18150.0
119,1,plymouth fury iii,gas,std,two,hatchback,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,37,41,5572.0
120,1,plymouth cricket,gas,turbo,two,hatchback,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,7957.0
121,1,plymouth fury iii,gas,std,four,hatchback,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,6229.0
122,1,plymouth satellite custom (sw),gas,std,four,sedan,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,31,38,6692.0
123,1,plymouth fury gran sedan,gas,std,four,sedan,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,31,38,7609.0
124,-1,plymouth valiant,gas,std,four,wagon,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,24,30,8921.0
125,3,plymouth duster,gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7.0,145,5000,19,24,12764.0
126,3,porsche macan,gas,std,two,hatchback,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,19,27,22018.0
127,3,porcshce panamera,gas,std,two,hardtop,89.5,168.9,65.0,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,32528.0
128,3,porsche cayenne,gas,std,two,hardtop,89.5,168.9,65.0,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,34028.0
129,3,porsche boxter,gas,std,two,convertible,89.5,168.9,65.0,51.6,2800,six,194,3.74,2.9,9.5,207,5900,17,25,37028.0
130,1,porsche cayenne,gas,std,two,hatchback,98.4,175.7,72.3,50.5,3366,eight,203,3.94,3.11,10.0,288,5750,17,28,31400.5
131,0,renault 12tl,gas,std,four,wagon,96.1,181.5,66.5,55.2,2579,four,132,3.46,3.9,8.7,90,5100,23,31,9295.0
132,2,renault 5 gtl,gas,std,two,hatchback,96.1,176.8,66.6,50.5,2460,four,132,3.46,3.9,8.7,90,5100,23,31,9895.0
133,3,saab 99e,gas,std,two,hatchback,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,21,28,11850.0
134,2,saab 99le,gas,std,four,sedan,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,21,28,12170.0
135,3,saab 99le,gas,std,two,hatchback,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,21,28,15040.0
136,2,saab 99gle,gas,std,four,sedan,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,21,28,15510.0
137,3,saab 99gle,gas,turbo,two,hatchback,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9.0,160,5500,19,26,18150.0
138,2,saab 99e,gas,turbo,four,sedan,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9.0,160,5500,19,26,18620.0
139,2,subaru,gas,std,two,hatchback,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9.0,69,4900,31,36,5118.0
140,2,subaru dl,gas,std,two,hatchback,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,26,31,7053.0
141,2,subaru dl,gas,std,two,hatchback,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,26,31,7603.0
142,0,subaru,gas,std,four,sedan,97.2,172.0,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,32,37,7126.0
143,0,subaru brz,gas,std,four,sedan,97.2,172.0,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,28,33,7775.0
144,0,subaru baja,gas,std,four,sedan,97.2,172.0,65.4,52.5,2340,four,108,3.62,2.64,9.0,94,5200,26,32,9960.0
145,0,subaru r1,gas,std,four,sedan,97.0,172.0,65.4,54.3,2385,four,108,3.62,2.64,9.0,82,4800,24,25,9233.0
146,0,subaru r2,gas,turbo,four,sedan,97.0,172.0,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,24,29,11259.0
147,0,subaru trezia,gas,std,four,wagon,97.0,173.5,65.4,53.0,2290,four,108,3.62,2.64,9.0,82,4800,28,32,7463.0
148,0,subaru tribeca,gas,std,four,wagon,97.0,173.5,65.4,53.0,2455,four,108,3.62,2.64,9.0,94,5200,25,31,10198.0
149,0,subaru dl,gas,std,four,wagon,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9.0,82,4800,23,29,8013.0
150,0,subaru dl,gas,turbo,four,wagon,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,23,23,11694.0
151,1,toyota corona mark ii,gas,std,two,hatchback,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9.0,62,4800,35,39,5348.0
152,1,toyota corona,gas,std,two,hatchback,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9.0,62,4800,31,38,6338.0
153,1,toyota corolla 1200,gas,std,four,hatchback,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9.0,62,4800,31,38,6488.0
154,0,toyota corona hardtop,gas,std,four,wagon,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9.0,62,4800,31,37,6918.0
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9.0,62,4800,27,32,7898.0
156,0,toyota carina,gas,std,four,wagon,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9.0,62,4800,27,32,8778.0
157,0,toyota mark ii,gas,std,four,sedan,95.7,166.3,64.4,53.0,2081,four,98,3.19,3.03,9.0,70,4800,30,37,6938.0
158,0,toyota corolla 1200,gas,std,four,hatchback,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9.0,70,4800,30,37,7198.0
159,0,toyota corona,diesel,std,four,sedan,95.7,166.3,64.4,53.0,2275,four,110,3.27,3.35,22.5,56,4500,34,36,7898.0
160,0,toyota corolla,diesel,std,four,hatchback,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,38,47,7788.0
161,0,toyota corona,gas,std,four,sedan,95.7,166.3,64.4,53.0,2094,four,98,3.19,3.03,9.0,70,4800,38,47,7738.0
162,0,toyota corolla,gas,std,four,hatchback,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9.0,70,4800,28,34,8358.0
163,0,toyota mark ii,gas,std,four,sedan,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9.0,70,4800,28,34,9258.0
164,1,toyota corolla liftback,gas,std,two,sedan,94.5,168.7,64.0,52.6,2169,four,98,3.19,3.03,9.0,70,4800,29,34,8058.0
165,1,toyota corona,gas,std,two,hatchback,94.5,168.7,64.0,52.6,2204,four,98,3.19,3.03,9.0,70,4800,29,34,8238.0
166,1,toyota celica gt liftback,gas,std,two,sedan,94.5,168.7,64.0,52.6,2265,four,98,3.24,3.08,9.4,112,6600,26,29,9298.0
167,1,toyota corolla tercel,gas,std,two,hatchback,94.5,168.7,64.0,52.6,2300,four,98,3.24,3.08,9.4,112,6600,26,29,9538.0
168,2,toyota corona liftback,gas,std,two,hardtop,98.4,176.2,65.6,52.0,2540,four,146,3.62,3.5,9.3,116,4800,24,30,8449.0
169,2,toyota corolla,gas,std,two,hardtop,98.4,176.2,65.6,52.0,2536,four,146,3.62,3.5,9.3,116,4800,24,30,9639.0
170,2,toyota starlet,gas,std,two,hatchback,98.4,176.2,65.6,52.0,2551,four,146,3.62,3.5,9.3,116,4800,24,30,9989.0
171,2,toyota tercel,gas,std,two,hardtop,98.4,176.2,65.6,52.0,2679,four,146,3.62,3.5,9.3,116,4800,24,30,11199.0
172,2,toyota corolla,gas,std,two,hatchback,98.4,176.2,65.6,52.0,2714,four,146,3.62,3.5,9.3,116,4800,24,30,11549.0
173,2,toyota cressida,gas,std,two,convertible,98.4,176.2,65.6,53.0,2975,four,146,3.62,3.5,9.3,116,4800,24,30,17669.0
174,-1,toyota corolla,gas,std,four,sedan,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,29,34,8948.0
175,-1,toyota celica gt,diesel,turbo,four,sedan,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,30,33,10698.0
176,-1,toyota corona,gas,std,four,hatchback,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,9988.0
177,-1,toyota corolla,gas,std,four,sedan,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,10898.0
178,-1,toyota mark ii,gas,std,four,hatchback,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,27,32,11248.0
179,3,toyota corolla liftback,gas,std,two,hatchback,102.9,183.5,67.7,52.0,2976,six,171,3.27,3.35,9.3,161,5200,20,24,16558.0
180,3,toyota corona,gas,std,two,hatchback,102.9,183.5,67.7,52.0,3016,six,171,3.27,3.35,9.3,161,5200,19,24,15998.0
181,-1,toyota starlet,gas,std,four,sedan,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,20,24,15690.0
182,-1,toyouta tercel,gas,std,four,wagon,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,19,24,15750.0
183,2,vokswagen rabbit,diesel,std,two,sedan,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23.0,52,4800,37,46,7775.0
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9.0,85,5250,27,34,7975.0
185,2,volkswagen model 111,diesel,std,four,sedan,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23.0,52,4800,37,46,7995.0
186,2,volkswagen type 3,gas,std,four,sedan,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9.0,85,5250,27,34,8195.0
187,2,volkswagen 411 (sw),gas,std,four,sedan,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9.0,85,5250,27,34,8495.0
188,2,volkswagen super beetle,diesel,turbo,four,sedan,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23.0,68,4500,37,42,9495.0
