User_ID|Gender|Age|Occupation|City_Category|Stay_In_Current_City_Years|Marital_Status
1000062|F|36-45|3|A|1|0
1000063|M|18-25|4|C|2|0
1000064|M|18-25|1|A|1|1
1000065|M|36-45|12|C|2|1
1000066|M|26-35|18|C|2|0
1000067|F|51-55|5|C|4+|1
1000068|M|18-25|4|A|0|0
1000069|F|26-35|1|A|1|0
1000070|M|18-25|4|A|2|0
1000071|M|26-35|14|A|0|1
1000072|F|46-50|0|B|1|1
1000073|M|18-25|4|A|4+|0
1000074|M|36-45|14|A|2|1
1000075|F|0-17|10|C|4+|0
1000076|M|36-45|7|B|2|1
1000077|M|18-25|4|C|2|0
1000078|F|46-50|1|C|0|1
1000079|F|46-50|0|A|1|0
1000080|M|55+|1|C|3|1
1000081|F|26-35|0|A|1|1
1000082|M|26-35|17|C|2|1
1000083|F|26-35|2|C|1|0
1000084|M|18-25|4|C|1|0
1000085|M|18-25|4|C|1|0
1000086|F|0-17|10|C|3|0
1000087|M|26-35|14|C|2|0
1000088|F|46-50|1|C|1|1
1000089|F|55+|9|C|1|1
1000090|M|55+|13|C|1|0
1000091|M|36-45|7|C|3|1
1000092|F|18-25|4|B|1|0
1000093|M|26-35|17|B|1|1
1000094|M|26-35|17|C|1|0
1000095|M|46-50|0|C|4+|1
1000096|F|26-35|16|C|2|1
1000097|F|36-45|3|C|3|0
1000099|F|0-17|10|C|1|0
1000100|M|36-45|17|C|4+|0
1000101|F|18-25|3|A|1|0
1000102|M|36-45|19|C|3|0
1000103|M|46-50|7|B|2|1
1000105|M|46-50|12|C|1|1
1000106|F|36-45|11|C|4+|0
1000107|M|46-50|18|C|4+|0
1000108|M|26-35|12|C|3|0
1000109|M|46-50|15|C|1|1
1000110|M|26-35|2|B|4+|0
1000111|M|36-45|15|C|3|0
1000112|M|26-35|16|C|3|1
1000113|M|18-25|12|C|2|0
1000114|F|26-35|2|C|0|0
1000116|M|26-35|17|C|2|1
1000117|M|26-35|17|A|2|1
1000118|M|36-45|17|C|4+|0
1000119|F|0-17|10|C|1|0
1000120|M|26-35|11|C|0|0
1000121|M|36-45|7|C|2|0
1000122|F|18-25|4|C|1|0
1000123|M|36-45|9|B|4+|1
1000124|M|55+|7|C|1|1
1000125|M|46-50|14|B|3|1
1000126|M|18-25|9|B|1|0
1000127|F|46-50|3|C|1|1
1000128|M|55+|6|A|1|1
1000129|M|26-35|11|C|2|0
1000130|M|36-45|17|B|3|1
1000131|M|18-25|4|C|4+|0
1000132|M|26-35|17|C|1|0
1000133|F|26-35|0|C|1|1
1000134|M|26-35|0|C|3|1
1000135|M|18-25|4|C|1|1
1000136|M|18-25|2|B|3|0
1000137|F|46-50|6|C|4+|1
1000138|M|18-25|20|C|1|1
1000139|F|26-35|20|C|2|0
1000140|F|36-45|1|B|3|0
1000142|M|26-35|7|A|2|0
1000143|M|18-25|3|C|0|0
1000145|M|18-25|4|C|4+|0
1000146|F|36-45|20|B|3|1
1000147|M|18-25|4|B|4+|0
1000148|M|51-55|17|B|3|1
1000149|M|26-35|1|B|2|1
1000150|M|36-45|7|B|0|1
1000151|F|26-35|20|A|1|1
1000152|M|18-25|4|A|3|0
1000153|M|0-17|10|C|0|0
1000154|M|51-55|20|A|4+|1
1000155|M|36-45|12|C|4+|1
1000156|F|46-50|7|C|4+|1
1000157|M|36-45|16|A|1|0
1000158|M|55+|7|C|2|1
1000159|F|46-50|0|A|1|1
1000160|M|36-45|7|C|3|0
1000161|M|46-50|16|C|4+|1
1000162|F|18-25|4|C|4+|0
1000163|M|18-25|4|A|1|0
1000165|M|18-25|16|A|1|0
1000166|M|18-25|4|B|1|1
1000169|M|26-35|7|B|3|0
1000170|M|26-35|11|C|1|1
1000171|F|51-55|17|B|1|1
1000172|M|26-35|3|C|2|0
1000173|M|26-35|0|B|1|1
1000174|M|26-35|16|C|2|0
1000175|F|26-35|2|B|1|0
1000176|F|18-25|3|C|1|0
1000177|M|51-55|1|B|3|1
1000178|M|55+|17|A|2|1
1000179|M|26-35|0|A|1|0
1000180|M|46-50|12|C|4+|0
1000181|M|18-25|17|C|1|0
1000182|M|18-25|4|C|0|0
1000183|F|46-50|1|B|1|1
1000184|F|26-35|0|C|4+|1
1000185|M|46-50|0|C|0|0
1000186|M|18-25|5|C|0|0
1000187|F|46-50|1|B|1|0
1000188|M|55+|16|C|2|0
1000190|M|26-35|17|A|1|0
1000191|M|18-25|4|C|1|1
1000192|M|18-25|1|B|2|0
1000193|F|46-50|15|C|1|1
1000194|F|0-17|10|C|3|0
1000195|M|26-35|12|B|4+|1
1000196|F|36-45|9|C|4+|0
1000197|M|18-25|14|A|3|0
1000198|M|26-35|12|A|0|1
1000199|M|18-25|4|B|1|0
1000200|F|18-25|4|C|0|0
1000201|F|36-45|2|A|1|0
1000202|M|18-25|4|A|3|0
1000203|F|18-25|4|B|1|1
1000204|M|26-35|7|B|1|1
1000205|M|36-45|12|A|1|0
1000206|M|26-35|17|C|1|0
1000208|M|36-45|17|C|1|1
1000209|M|36-45|1|B|4+|0
1000210|F|0-17|10|C|0|0
1000211|M|46-50|17|C|1|1
1000212|M|26-35|16|C|3|0
1000214|M|18-25|20|C|1|0
1000215|M|36-45|14|C|1|1
1000216|M|46-50|13|B|1|0
1000217|M|18-25|4|A|1|0
1000218|M|36-45|14|C|3|1
1000219|F|26-35|4|A|0|0
1000220|M|26-35|12|A|3|0
1000221|F|26-35|0|B|2|1
1000222|M|26-35|1|A|1|0
1000223|M|26-35|17|B|4+|0
1000225|M|26-35|7|A|0|0
1000227|M|36-45|20|B|0|0
1000228|M|26-35|15|A|1|0
1000229|M|18-25|10|C|1|0
1000230|M|46-50|1|C|1|0
1000231|M|26-35|3|A|1|0
1000232|M|26-35|20|A|1|1
1000233|F|46-50|20|C|2|1
1000234|M|36-45|7|C|2|0
1000235|M|26-35|0|B|0|0
1000236|M|26-35|5|B|2|0
1000237|M|26-35|6|C|1|1
1000238|F|51-55|7|B|0|0
1000239|M|18-25|19|A|1|0
1000240|M|51-55|17|A|1|1
1000242|F|18-25|4|A|3|0
1000243|M|26-35|16|C|1|0
1000244|M|51-55|7|B|3|1
1000245|M|36-45|16|B|0|0
1000246|F|18-25|4|C|1|0
1000249|F|18-25|14|C|2|0
1000250|M|36-45|16|C|1|0
1000251|M|55+|17|A|0|1
1000252|M|26-35|12|C|3|0
1000253|F|26-35|11|C|1|0
1000254|M|36-45|17|C|4+|0
1000255|M|36-45|0|C|1|1
1000256|M|46-50|16|C|3|0
1000257|M|18-25|18|A|1|0
1000258|M|26-35|7|C|0|1
1000259|M|26-35|1|B|4+|0
1000260|M|18-25|19|C|1|0
1000261|M|26-35|20|A|4+|0
1000262|F|26-35|1|C|1|0
1000263|F|26-35|7|C|1|0
1000264|M|36-45|0|B|1|1
1000265|F|36-45|7|A|4+|1
1000266|M|36-45|11|C|3|0
1000267|M|46-50|12|C|1|1
1000268|F|18-25|12|C|1|0
1000269|M|26-35|2|A|1|1
1000270|M|51-55|14|B|2|1
1000271|M|18-25|4|C|1|0
1000272|M|18-25|0|A|1|0
1000273|M|18-25|4|B|2|1
1000274|M|18-25|4|A|4+|0
1000275|M|26-35|0|C|3|1
1000276|M|46-50|16|C|4+|0
1000278|M|46-50|18|C|4+|1
1000279|M|26-35|14|C|3|0
1000280|M|51-55|7|C|0|1
1000281|F|36-45|0|A|2|0
1000282|M|26-35|17|C|4+|1
1000284|M|26-35|12|B|3|1
1000285|F|36-45|0|A|1|0
1000287|M|51-55|13|B|1|1
1000289|F|26-35|0|C|1|0
1000291|M|36-45|12|B|2|0
1000292|M|36-45|7|C|0|1
1000293|M|55+|1|C|1|1
1000295|M|18-25|0|C|4+|0
1000296|M|51-55|5|C|4+|1
1000297|M|18-25|2|C|3|1
1000298|F|18-25|4|C|2|0
1000299|M|26-35|12|C|4+|0
1000300|M|26-35|7|B|4+|1
1000301|M|18-25|4|B|4+|0
1000302|M|18-25|4|B|4+|0
1000303|M|26-35|7|C|1|1
1000304|M|26-35|0|B|1|0
1000305|F|18-25|0|B|3|1
1000306|M|18-25|0|C|3|0
1000307|M|51-55|16|B|0|1
1000308|M|26-35|2|A|3|1
1000309|M|26-35|4|B|1|0
1000310|F|18-25|4|C|1|0
1000311|M|18-25|4|C|3|1
1000312|F|51-55|2|B|0|0
1000313|F|18-25|4|A|4+|0
1000314|F|55+|9|C|1|0
1000315|F|55+|1|A|3|1
1000316|M|55+|13|C|1|0
1000318|F|55+|13|A|1|1
1000319|F|51-55|6|B|3|1
1000320|M|36-45|6|C|4+|0
1000321|M|18-25|4|B|3|0
1000322|M|55+|17|A|3|1
1000323|M|46-50|12|C|1|0
1000324|M|36-45|17|B|0|1
1000325|F|51-55|3|A|1|0
1000326|M|51-55|11|B|1|1
1000327|M|36-45|18|C|4+|0
1000328|M|36-45|12|C|2|0
1000329|M|36-45|7|A|1|0
1000330|M|55+|7|C|2|0
1000331|M|26-35|7|B|1|0
1000332|M|51-55|1|C|3|1
1000333|M|36-45|2|A|0|1
1000334|F|55+|2|A|3|1
1000335|M|36-45|18|C|0|1
1000336|M|18-25|0|C|4+|0
1000337|M|18-25|19|C|0|0
1000338|M|36-45|7|A|1|0
1000339|M|51-55|7|C|1|1
1000340|F|26-35|3|C|1|1
1000342|M|18-25|12|C|4+|0
1000343|F|36-45|3|B|2|0
1000344|M|36-45|14|C|1|1
1000345|M|26-35|12|A|2|1
1000346|F|26-35|0|B|2|0
1000347|F|55+|1|A|1|0
1000348|M|51-55|7|B|2|1
1000349|M|0-17|10|C|0|0
1000350|M|46-50|20|C|3|0
1000351|M|18-25|4|A|4+|0
1000352|M|18-25|4|A|0|0
1000353|F|36-45|7|C|1|1
1000354|M|36-45|1|A|1|0
1000355|M|18-25|3|B|2|0
1000356|M|55+|20|C|0|1
1000357|M|18-25|0|A|4+|0
1000359|M|26-35|17|B|1|0
1000360|M|36-45|17|C|1|0
1000362|M|36-45|20|B|1|0
1000363|M|18-25|10|B|1|1
1000365|F|18-25|4|A|1|0
1000366|M|51-55|15|B|1|1
1000368|M|26-35|0|C|1|0
1000369|M|36-45|1|B|2|0
1000370|M|18-25|17|C|3|0
1000371|M|18-25|4|B|4+|0
1000372|F|18-25|4|C|2|0
1000374|F|36-45|14|C|0|0
1000375|M|26-35|2|B|1|0
1000376|M|36-45|1|C|4+|1
1000377|M|26-35|17|B|2|0
1000379|F|36-45|1|C|4+|0
1000380|M|26-35|2|C|1|0
1000381|M|36-45|17|C|2|0
1000382|F|36-45|20|B|0|1
1000383|F|26-35|7|A|4+|1
1000384|M|26-35|11|B|3|1
1000385|M|26-35|6|C|1|0
1000386|M|26-35|0|A|1|1
1000387|F|36-45|7|C|0|0
1000388|F|26-35|0|B|3|1
1000389|M|26-35|6|C|0|0
1000390|M|26-35|4|A|0|0
1000391|M|46-50|11|C|2|1
1000392|M|18-25|7|A|0|0
1000393|M|36-45|17|C|4+|0
1000394|M|18-25|0|C|1|0
1000396|M|26-35|1|C|1|0
1000397|M|36-45|17|B|2|0
1000398|M|26-35|17|B|3|1
1000399|F|36-45|6|B|1|1
1000400|F|18-25|3|C|2|1
1000401|M|18-25|0|B|3|0
1000402|M|26-35|11|B|1|1
1000403|M|18-25|4|A|2|0
1000405|M|55+|1|C|2|0
1000406|M|26-35|20|A|3|0
1000408|M|26-35|11|A|0|0
1000409|M|18-25|12|B|4+|0
1000410|F|26-35|1|B|4+|0
1000411|F|46-50|1|B|0|1
1000412|M|36-45|15|A|1|1
1000413|M|26-35|11|C|0|0
1000414|M|26-35|0|C|4+|0
1000415|F|36-45|0|A|2|1
1000416|M|46-50|14|C|3|1
1000417|F|26-35|0|C|0|1
1000418|F|26-35|3|B|0|1
1000419|M|18-25|3|C|1|0
1000420|M|36-45|1|A|1|0
1000421|F|46-50|3|A|1|1
1000422|M|55+|17|A|4+|0
1000423|M|18-25|4|A|1|0
1000424|M|26-35|17|A|3|0
1000425|M|26-35|12|B|1|1
1000426|M|18-25|4|A|1|1
1000429|M|18-25|0|C|1|0
1000430|F|18-25|10|C|1|1
1000431|M|18-25|10|B|3|0
1000433|M|51-55|6|C|3|1
1000434|F|46-50|3|C|1|0
1000435|M|26-35|7|A|4+|0
1000436|M|18-25|4|C|1|0
1000437|M|36-45|17|C|2|1
1000438|M|18-25|11|A|3|0
1000439|M|36-45|14|B|3|1
1000442|M|26-35|1|A|2|0
1000443|M|26-35|3|A|0|1
1000444|M|55+|0|A|3|0
1000445|M|46-50|12|A|1|1
1000446|F|51-55|0|C|2|0
1000447|F|46-50|11|A|1|0
1000448|M|26-35|17|C|0|0
1000449|M|26-35|7|C|3|0
1000450|M|46-50|1|C|1|1
1000451|M|55+|13|C|4+|1
1000452|M|51-55|17|A|3|1
1000453|M|18-25|4|B|1|0
1000454|M|26-35|20|C|2|1
1000456|M|36-45|0|A|0|0
1000457|M|18-25|4|B|2|0
1000458|M|51-55|16|C|1|1
1000459|F|18-25|4|A|3|0
1000460|M|46-50|18|C|2|0
1000461|M|51-55|7|B|0|0
1000462|M|18-25|16|C|1|1
1000463|M|26-35|7|A|4+|1
1000464|F|18-25|4|A|3|0
1000465|M|18-25|19|C|2|0
1000466|M|26-35|5|A|2|0
1000467|F|36-45|3|B|4+|1
1000468|F|0-17|10|B|1|0
1000469|M|36-45|6|B|0|1
1000470|F|0-17|10|C|2|0
1000471|M|36-45|7|A|3|0
1000473|F|18-25|4|A|1|0
1000474|M|26-35|17|B|1|0
1000476|M|36-45|0|B|0|0
1000477|M|36-45|14|A|1|0
1000478|M|51-55|16|A|2|0
1000479|M|26-35|12|C|0|0
1000480|F|18-25|4|C|1|0
1000481|M|46-50|7|C|2|0
1000482|M|26-35|14|A|2|1
1000483|M|18-25|12|A|4+|0
1000484|F|0-17|10|A|2|0
1000486|M|55+|0|C|0|0
1000487|F|36-45|17|B|0|1
1000490|M|0-17|10|B|1|0
1000492|M|26-35|12|A|0|0
1000493|M|51-55|7|C|1|1
1000496|M|18-25|4|A|3|0
1000498|M|36-45|17|A|1|0
1000499|F|26-35|1|A|1|0
1000500|F|18-25|2|A|0|0
1000501|M|26-35|2|C|4+|1
1000502|M|36-45|6|B|1|0
1000503|M|36-45|11|C|0|1
1000504|M|26-35|2|C|2|0
1000505|M|36-45|17|C|2|1
1000506|M|26-35|16|C|1|0
1000507|F|26-35|0|A|4+|1
1000508|M|26-35|12|B|0|0
1000509|M|26-35|2|A|0|1
1000510|M|18-25|12|C|3|0
1000511|F|46-50|4|C|1|1
1000513|M|26-35|0|C|4+|0
1000514|M|26-35|2|A|1|1
1000515|M|26-35|1|A|0|1
1000516|F|55+|14|C|2|0
1000517|F|26-35|14|A|1|0
1000518|F|36-45|12|C|4+|0
1000519|F|36-45|14|C|4+|1
1000520|F|36-45|20|A|2|0
1000522|M|26-35|12|C|1|0
1000523|M|51-55|7|A|1|1
1000524|M|18-25|0|A|0|0
1000525|M|36-45|6|C|2|0
1000526|M|46-50|17|C|1|1
1000529|M|36-45|12|C|1|0
1000530|M|26-35|2|A|1|1
1000531|F|18-25|14|B|0|0
1000532|M|26-35|7|C|2|0
1000533|M|26-35|12|A|1|0
1000534|M|26-35|15|B|3|1
1000535|M|36-45|6|B|3|1
1000536|M|26-35|20|C|1|0
1000539|M|26-35|2|C|4+|0
1000540|M|18-25|1|B|1|0
1000541|F|18-25|4|C|3|0
1000543|M|26-35|5|B|4+|1
1000544|M|36-45|12|B|2|0
1000545|M|36-45|17|C|2|0
1000546|F|26-35|0|B|0|0
1000547|M|36-45|12|B|3|0
1000548|F|36-45|16|C|1|1
1000549|M|26-35|6|A|3|0
1000550|M|46-50|8|B|1|1
1000551|M|36-45|20|A|4+|1
1000552|M|51-55|18|C|3|1
1000553|M|26-35|2|B|1|0
1000554|M|26-35|12|C|0|1
1000555|M|18-25|4|B|4+|0
1000556|F|26-35|9|B|4+|0
1000557|M|55+|1|A|3|0
1000560|M|46-50|15|C|1|1
1000563|M|26-35|4|A|3|0
1000564|M|46-50|1|C|1|0
1000565|M|26-35|16|B|0|0
1000566|M|26-35|17|A|3|0
1000567|M|36-45|20|C|3|0
1000568|F|51-55|17|C|1|1
1000569|F|18-25|4|C|3|1
1000570|M|26-35|4|A|4+|0
1000571|M|51-55|5|C|3|1
1000573|F|36-45|2|B|0|0
1000574|M|26-35|19|C|4+|1
1000575|M|26-35|12|B|0|1
1000576|F|46-50|15|C|1|1
1000577|M|36-45|0|A|3|0
1000579|M|26-35|5|C|2|0
1000580|M|0-17|10|C|1|0
1000581|M|51-55|14|C|1|1
1000582|M|18-25|4|C|4+|0
1000583|F|26-35|0|A|4+|0
1000584|F|26-35|0|B|1|0
1000585|M|18-25|1|A|1|0
1000586|M|36-45|14|C|3|1
1000587|M|26-35|20|B|3|0
1000588|F|26-35|11|B|1|0
1000589|M|18-25|2|A|1|0
1000590|F|36-45|6|C|1|0
1000591|M|26-35|0|C|1|0
1000592|M|18-25|0|A|1|1
1000593|F|51-55|1|C|4+|0
1000594|F|55+|13|B|3|0
1000595|M|26-35|7|A|1|0
1000596|F|26-35|1|C|2|1
1000597|M|36-45|12|C|3|1
1000598|M|36-45|7|C|1|1
1000599|M|51-55|6|A|3|1
1000600|M|36-45|17|C|0|1
1000601|F|18-25|20|B|3|1
1000602|F|55+|6|C|2|0
1000603|F|26-35|6|C|1|1
1000604|M|46-50|17|C|2|1
1000605|F|18-25|4|C|0|0
1000606|F|0-17|10|C|2|0
1000608|M|18-25|4|C|3|1
1000609|M|26-35|7|B|1|0
1000610|M|26-35|4|B|1|0
1000611|M|36-45|0|C|1|0
1000612|M|51-55|7|C|1|0
1000613|M|36-45|20|C|1|1
1000615|M|51-55|17|C|3|0
1000616|M|26-35|7|B|2|0
1000617|F|26-35|7|C|1|0
1000618|M|26-35|0|B|3|0
1000619|F|18-25|1|B|0|0
1000620|M|18-25|0|A|3|0
1000622|M|26-35|0|B|1|1
1000623|M|26-35|17|C|3|1
1000624|M|26-35|1|B|3|0
1000625|F|36-45|12|C|2|1
1000626|M|18-25|4|B|4+|1
1000627|M|51-55|2|C|2|1
1000628|F|36-45|0|C|2|0
1000629|F|0-17|10|C|2|0
1000630|F|36-45|14|C|2|0
1000631|M|36-45|17|C|3|1
1000632|M|46-50|17|C|2|0
1000633|M|26-35|17|B|4+|0
1000634|F|0-17|10|C|4+|0
1000635|M|55+|17|C|4+|1
1000636|M|18-25|20|C|4+|0
1000637|M|36-45|12|B|2|1
1000638|M|26-35|6|C|1|1
1000639|M|46-50|17|B|2|1
1000641|F|36-45|0|A|2|1
1000643|M|26-35|2|C|0|1
1000644|M|26-35|20|C|2|1
1000645|M|36-45|20|A|2|0
1000646|M|36-45|7|C|2|0
1000647|M|36-45|12|B|1|1
1000648|F|26-35|12|B|1|1
1000649|M|26-35|4|B|2|1
1000650|M|26-35|17|C|2|1
1000651|M|36-45|7|B|2|0
1000652|M|18-25|20|C|3|0
1000654|M|51-55|7|C|4+|1
1000655|F|26-35|2|B|2|0
1000656|F|46-50|16|C|3|1
1000657|F|51-55|13|C|1|0
1000658|F|26-35|0|B|1|0
1000659|F|26-35|0|C|4+|0
1000661|M|46-50|1|C|2|1
1000662|M|18-25|4|B|2|0
1000663|F|26-35|7|A|1|0
1000664|M|36-45|18|C|2|1
1000666|F|18-25|0|C|2|0
1000667|M|26-35|18|C|2|1
1000668|F|26-35|3|C|2|0
1000669|M|26-35|17|B|2|0
1000670|M|26-35|12|B|3|1
1000671|M|18-25|4|C|0|0
1000673|M|26-35|20|A|4+|0
1000674|M|26-35|17|C|4+|0
1000675|M|26-35|20|C|1|1
1000676|M|18-25|16|B|1|1
1000677|M|51-55|2|B|1|1
1000678|M|26-35|0|A|0|1
1000679|M|36-45|16|C|4+|1
1000680|M|26-35|12|C|1|0
1000681|M|36-45|7|C|3|1
1000682|M|26-35|4|C|1|0
1000683|M|26-35|4|A|3|1
1000685|M|26-35|4|A|1|1
1000686|M|18-25|4|A|1|1
1000687|F|26-35|7|C|4+|0
1000688|M|55+|13|C|2|1
1000689|F|51-55|0|A|0|1
1000690|M|26-35|12|C|3|0
1000691|M|36-45|11|B|2|1
1000692|F|26-35|0|A|0|1
1000694|M|18-25|4|A|4+|0
1000695|F|18-25|1|A|2|0
1000698|M|18-25|4|A|1|0
1000700|M|51-55|17|C|1|1
1000701|F|18-25|4|B|0|0
1000702|M|36-45|7|B|2|1
1000704|F|36-45|8|C|2|0
1000705|M|26-35|4|C|0|1
1000706|M|36-45|20|B|2|0
1000707|M|36-45|7|C|1|0
1000708|M|26-35|0|C|2|0
1000709|M|18-25|0|C|1|0
1000710|M|26-35|20|A|4+|0
1000711|M|26-35|18|A|4+|0
1000712|M|26-35|0|B|2|0
1000713|M|36-45|7|B|3|0
1000714|M|18-25|4|B|2|0
1000715|M|18-25|0|B|1|0
1000717|M|26-35|11|C|0|0
1000718|M|18-25|2|C|2|0
1000719|M|0-17|0|C|4+|0
1000720|M|18-25|0|B|0|0
1000721|F|36-45|9|B|1|0
1000722|M|26-35|12|B|4+|0
1000723|M|26-35|12|C|3|1
1000724|M|51-55|13|B|2|1
1000725|M|55+|11|A|1|0
1000726|F|26-35|9|C|0|1
1000727|M|36-45|11|B|4+|1
1000728|M|26-35|6|C|4+|0
1000729|M|36-45|12|C|0|0
1000730|M|26-35|0|C|4+|1
1000731|M|46-50|3|A|0|1
1000732|M|26-35|7|B|4+|0
1000733|M|36-45|16|C|1|1
1000734|M|26-35|7|C|1|1
1000735|M|26-35|14|A|3|0
1000736|M|18-25|12|C|0|1
1000737|M|0-17|19|A|2|0
1000738|M|18-25|17|C|1|0
1000739|M|36-45|12|C|3|0
1000740|M|26-35|14|C|1|0
1000741|M|26-35|5|C|1|1
1000742|M|18-25|0|C|1|0
1000743|F|0-17|2|A|2|0
1000744|M|26-35|17|B|2|0
1000746|F|18-25|19|B|3|0
1000748|M|26-35|0|C|4+|0
1000749|M|36-45|18|B|0|0
1000750|F|36-45|9|B|4+|1
1000751|F|26-35|17|C|3|0
1000752|F|26-35|3|A|3|0
1000753|M|0-17|10|C|1|0
1000754|M|36-45|7|C|3|0
1000755|F|36-45|0|B|3|1
1000756|M|36-45|0|C|2|0
1000757|M|26-35|12|A|1|0
1000758|M|36-45|7|C|3|1
1000759|F|55+|3|C|1|0
1000760|M|55+|15|A|4+|1
1000761|M|18-25|7|C|3|0
1000762|M|0-17|10|C|2|0
1000764|M|18-25|20|C|2|0
1000765|M|26-35|17|B|1|0
1000766|F|26-35|7|C|3|1
1000767|M|26-35|12|C|1|0
1000769|M|46-50|17|C|4+|1
1000770|M|18-25|4|B|2|1
1000771|F|51-55|1|C|0|0
1000772|M|18-25|12|C|2|0
1000773|M|26-35|6|B|3|0
1000774|M|18-25|4|A|4+|0
1000775|M|0-17|17|C|1|0
1000776|F|26-35|3|B|1|0
1000777|M|18-25|19|B|1|0
1000778|M|18-25|17|C|4+|0
1000779|M|26-35|0|B|2|1
1000780|M|26-35|17|B|3|0
1000783|M|26-35|4|A|2|0
1000785|M|18-25|19|C|4+|0
1000786|M|26-35|0|C|2|0
1000787|M|18-25|4|C|2|0
1000788|M|26-35|0|C|1|0
1000789|M|18-25|1|B|3|1
1000791|M|36-45|7|B|1|0
1000792|M|26-35|17|B|2|0
1000793|F|36-45|14|C|1|0
1000794|M|51-55|20|C|2|1
1000795|F|36-45|14|B|1|0
1000796|M|51-55|6|B|4+|1
1000797|F|51-55|7|C|1|0
1000798|F|26-35|20|C|1|1
1000799|F|26-35|5|C|3|1
1000801|F|26-35|20|C|4+|0
1000802|M|26-35|16|B|1|0
1000803|M|18-25|4|C|0|0
1000804|M|26-35|20|C|0|0
1000805|M|36-45|12|B|1|0
1000806|M|36-45|0|C|3|1
1000807|M|18-25|4|C|2|0
1000808|M|26-35|7|B|1|1
1000809|M|26-35|17|C|1|0
1000810|M|26-35|12|C|4+|0
1000811|M|51-55|0|A|0|1
1000812|M|26-35|6|C|2|0
1000813|M|18-25|4|C|1|1
1000814|F|18-25|4|B|1|0
1000816|M|46-50|0|C|2|0
1000817|M|18-25|4|B|2|0
1000818|M|18-25|4|C|2|0
1000819|M|36-45|7|A|1|0
1000820|M|36-45|7|A|1|0
1000821|M|18-25|2|C|2|0
1000822|F|26-35|1|B|0|1
1000823|M|26-35|0|C|1|0
1000824|M|36-45|12|A|2|1
1000825|M|55+|1|C|4+|1
1000826|F|36-45|1|C|1|1
1000827|M|46-50|2|C|4+|1
1000828|M|18-25|4|C|2|0
1000829|M|0-17|19|A|2|0
1000830|M|36-45|7|A|3|0
1000832|M|18-25|2|C|4+|0
1000833|M|36-45|7|C|1|1
1000834|F|36-45|12|C|0|0
1000835|M|55+|0|C|1|0
1000836|M|26-35|11|A|4+|0
1000837|M|55+|7|C|1|1
1000838|M|51-55|17|C|0|0
1000839|M|26-35|0|A|2|0
1000840|F|26-35|3|C|1|1
1000842|F|18-25|0|B|3|0
1000843|M|26-35|7|B|2|1
1000844|M|26-35|0|B|3|1
1000845|F|18-25|0|A|2|0
1000846|M|26-35|5|C|3|1
1000847|F|26-35|7|B|1|1
1000848|M|26-35|15|B|0|0
1000849|M|26-35|3|B|2|1
1000850|M|36-45|0|A|3|1
1000851|M|18-25|4|B|1|0
1000852|M|26-35|5|C|1|0
1000853|M|26-35|17|B|4+|0
1000854|F|26-35|16|B|1|0
1000855|F|18-25|2|A|2|1
1000856|F|46-50|6|B|1|0
1000857|M|36-45|17|C|3|1
1000858|M|36-45|14|B|4+|0
1000859|M|26-35|12|B|4+|1
1000860|M|18-25|0|C|0|0
1000861|M|26-35|7|C|0|0
